"quantity","truth","posterior_mean","posterior_sd","q025","median","q975","covers_truth","standardized_bias","scenario","replicate","method","group"
"growth_increment_80",8.4,8.440003205424,0.0804498570445357,8.28145030461124,8.44504342683417,8.58717723966662,TRUE,0.497243959076956,"parent_excitation_dense",8,"one_step_shared_gamma_poisson","growth"
"growth_increment_110",4.8,4.85282080497913,0.0872654822478112,4.68555923733162,4.85653459412195,5.02464524709578,TRUE,0.605288638973333,"parent_excitation_dense",8,"one_step_shared_gamma_poisson","growth"
"growth_sd.log_growth_sd",4.5,4.24170597655928,0.0730675557222705,4.1156224669409,4.23871616423951,4.37880789470954,FALSE,-3.53500292828318,"parent_excitation_dense",8,"one_step_shared_gamma_poisson","growth"
"recruitment_50",0.019387103915861,0.0185545720167314,0.0010249211250443,0.0165284235277243,0.0185986865034419,0.0205586958907005,TRUE,-0.812288749628041,"parent_excitation_dense",8,"one_step_shared_gamma_poisson","recruitment"
"recruitment_80",0.183939720585721,0.179290799655877,0.00618628675535374,0.167327810573123,0.179642421688895,0.191195687891727,TRUE,-0.751488108083732,"parent_excitation_dense",8,"one_step_shared_gamma_poisson","recruitment"
"recruitment_110",1.74517147873092,1.73326531599306,0.0275712774439496,1.67797781936258,1.73370797825327,1.7901752719068,TRUE,-0.431832103611011,"parent_excitation_dense",8,"one_step_shared_gamma_poisson","recruitment"
"recruit_mean_50",44,44.2659426237331,0.158278364405648,43.9535446297255,44.2532896286934,44.5936384222989,TRUE,1.68022094953892,"parent_excitation_dense",8,"one_step_shared_gamma_poisson","recruit_size"
"recruit_mean_80",44.6,44.7701255154654,0.102446570871907,44.5760282004611,44.762640773206,44.9758605558387,TRUE,1.66062674443367,"parent_excitation_dense",8,"one_step_shared_gamma_poisson","recruit_size"
"recruit_mean_110",45.2,45.2743084071977,0.0488708876436677,45.1799222539106,45.272446883747,45.3717365304906,TRUE,1.52050455353932,"parent_excitation_dense",8,"one_step_shared_gamma_poisson","recruit_size"
"recruit_sd.log_recruit_sd",3.5,3.51102847998742,0.0179120522749169,3.47936561785972,3.50987339901987,3.54616351641265,TRUE,0.615701641450692,"parent_excitation_dense",8,"one_step_shared_gamma_poisson","recruit_size"
"lambda",1.03119869581319,1.03505920018747,0.0132432283767486,1.00714009433001,1.03612312985656,1.05952905081535,TRUE,0.291507800398551,"parent_excitation_dense",8,"one_step_shared_gamma_poisson","lambda"
"survival_50",0.354343693774205,0.356004468208378,0.0151650402763567,0.326560384566642,0.356012856370307,0.386314531297565,TRUE,0.109513354657103,"parent_excitation_sparse",9,"recursive_gamma_poisson","survival"
"survival_80",0.589040434058665,0.589723767845509,0.0133775387843075,0.563435543336359,0.589632822096785,0.61617488740839,TRUE,0.0510806806738923,"parent_excitation_sparse",9,"recursive_gamma_poisson","survival"
"survival_110",0.789181706522253,0.788738678030553,0.0146599197295932,0.7612522658934,0.788798456981385,0.81445231525518,TRUE,-0.0302203900069861,"parent_excitation_sparse",9,"recursive_gamma_poisson","survival"
"growth_increment_50",12,12.0817038324251,0.20459002942586,11.6664344084227,12.0938681967797,12.464696043241,TRUE,0.399353930660152,"parent_excitation_sparse",9,"recursive_gamma_poisson","growth"
"growth_increment_80",8.4,8.3741953310531,0.130471865672187,8.08501160251842,8.37941842336828,8.60986573490376,TRUE,-0.197779565839392,"parent_excitation_sparse",9,"recursive_gamma_poisson","growth"
"growth_increment_110",4.8,4.6666868296811,0.121796149205796,4.40377114270292,4.66506176724043,4.88764288730712,TRUE,-1.09455981316487,"parent_excitation_sparse",9,"recursive_gamma_poisson","growth"
"growth_sd.log_growth_sd",4.5,4.3194037184425,0.119670676109992,4.10939322995758,4.32089187600622,4.56676146819685,TRUE,-1.50911056432493,"parent_excitation_sparse",9,"recursive_gamma_poisson","growth"
"recruitment_50",0.019387103915861,0.0166192172619854,0.00153197024279036,0.013925276539059,0.0165214847926552,0.0198321115272033,TRUE,-1.80674961991042,"parent_excitation_sparse",9,"recursive_gamma_poisson","recruitment"
"recruitment_80",0.183939720585721,0.171483882677251,0.00993192153573403,0.153842797189133,0.170612333548745,0.19182933728817,TRUE,-1.2541216584983,"parent_excitation_sparse",9,"recursive_gamma_poisson","recruitment"
"recruitment_110",1.74517147873092,1.7716510308839,0.0493698420204867,1.67642688257877,1.7683861387758,1.86824933750919,TRUE,0.53635075724966,"parent_excitation_sparse",9,"recursive_gamma_poisson","recruitment"
"recruit_mean_50",44,44.4346451354307,0.356317081194456,43.7795884348127,44.4212655821899,45.1447717661552,TRUE,1.21982682944556,"parent_excitation_sparse",9,"recursive_gamma_poisson","recruit_size"
"recruit_mean_80",44.6,44.8734591444793,0.229919150469696,44.4556267790108,44.8663212861092,45.3412106358516,TRUE,1.18937088937861,"parent_excitation_sparse",9,"recursive_gamma_poisson","recruit_size"
"recruit_mean_110",45.2,45.3122731535279,0.111657968898951,45.1135477748163,45.30446458855,45.5374728682224,TRUE,1.0055095452209,"parent_excitation_sparse",9,"recursive_gamma_poisson","recruit_size"
"recruit_sd.log_recruit_sd",3.5,3.5739420258204,0.0467827864588186,3.4868498179523,3.57364339781825,3.66214187753019,TRUE,1.58053915590265,"parent_excitation_sparse",9,"recursive_gamma_poisson","recruit_size"
"lambda",1.03119869581319,1.03060691267525,0.013373771071474,1.00340319647534,1.03045778755926,1.05443803741288,TRUE,-0.0442495340157676,"parent_excitation_sparse",9,"recursive_gamma_poisson","lambda"
"survival_50",0.354343693774205,0.355931380420001,0.0119268526602131,0.33434625992145,0.355469031771925,0.382533443348663,TRUE,0.133118660138446,"parent_excitation_sparse",9,"one_step_gamma_poisson","survival"
"survival_80",0.589040434058665,0.586069666999842,0.0190973199516105,0.549516217679667,0.585953609751636,0.620937524049947,TRUE,-0.155559369919499,"parent_excitation_sparse",9,"one_step_gamma_poisson","survival"
"survival_110",0.789181706522253,0.783138955008064,0.0245763304359824,0.734997895721128,0.784014110724625,0.827369744775183,TRUE,-0.245876882634257,"parent_excitation_sparse",9,"one_step_gamma_poisson","survival"
"growth_increment_50",12,12.1599467033335,0.211679892932313,11.7564153567732,12.1564257232016,12.6159787129406,TRUE,0.755606501485714,"parent_excitation_sparse",9,"one_step_gamma_poisson","growth"
"growth_increment_80",8.4,8.40636159823194,0.146507806698108,8.12774367513377,8.40968528747786,8.69391114391453,TRUE,0.0434215648661827,"parent_excitation_sparse",9,"one_step_gamma_poisson","growth"
"growth_increment_110",4.8,4.65277649313045,0.170600330674475,4.33338225123983,4.65886921645401,4.95913176415987,TRUE,-0.862973162405355,"parent_excitation_sparse",9,"one_step_gamma_poisson","growth"
"growth_sd.log_growth_sd",4.5,4.2977783356073,0.13308140982505,4.03210943039669,4.29048829429213,4.54332898341563,TRUE,-1.51953352957823,"parent_excitation_sparse",9,"one_step_gamma_poisson","growth"
"recruitment_50",0.019387103915861,0.0202673271367165,0.00171499500428083,0.016913786359248,0.0203561166090625,0.023417895695819,TRUE,0.513251186538972,"parent_excitation_sparse",9,"one_step_gamma_poisson","recruitment"
"recruitment_80",0.183939720585721,0.191470024064419,0.0104204560799972,0.171185642541379,0.192136164927427,0.210110183446952,TRUE,0.722646247044081,"parent_excitation_sparse",9,"one_step_gamma_poisson","recruitment"
"recruitment_110",1.74517147873092,1.81060574162234,0.0467385772514836,1.71253156347568,1.81291609045909,1.89999340918293,TRUE,1.4000054503015,"parent_excitation_sparse",9,"one_step_gamma_poisson","recruitment"
"recruit_mean_50",44,44.3391153849275,0.336095472146308,43.6932486422284,44.3426427404995,44.991973113823,TRUE,1.00898528255055,"parent_excitation_sparse",9,"one_step_gamma_poisson","recruit_size"
"recruit_mean_80",44.6,44.8192440109,0.21709459670103,44.3997590978458,44.8201054489878,45.2481282781956,TRUE,1.00990081849885,"parent_excitation_sparse",9,"one_step_gamma_poisson","recruit_size"
"recruit_mean_110",45.2,45.2993726368726,0.103519676725645,45.0987085180597,45.2986264822173,45.4959660923568,TRUE,0.959939598111116,"parent_excitation_sparse",9,"one_step_gamma_poisson","recruit_size"
"recruit_sd.log_recruit_sd",3.5,3.5894148868999,0.0411421971056223,3.50784857062268,3.58894910000447,3.66941442224511,FALSE,2.17331336657475,"parent_excitation_sparse",9,"one_step_gamma_poisson","recruit_size"
"lambda",1.03119869581319,1.02216921226905,0.0234697756099802,0.973806960447497,1.0235806207954,1.06416531225342,TRUE,-0.384728158214701,"parent_excitation_sparse",9,"one_step_gamma_poisson","lambda"
"survival_50",0.354343693774205,0.365321110742945,0.0142101876849458,0.338923189409674,0.364260810583322,0.394775988958238,TRUE,0.772503306227956,"parent_excitation_sparse",9,"one_step_shared_gamma_poisson","survival"
