"scenario","method","quantity","n","coverage","bias","rmse","mean_posterior_sd","mean_abs_standardized_bias"
"standard","recursive_gamma_poisson","recruitment_110",98,0.775510204081633,-0.204322591732842,0.425071865381076,0.170275061016095,3.13412710611375
"parent_excitation_dense","one_step_gamma_poisson","recruitment_50",100,0.68,6.92395263542596e-05,0.00181338376106618,0.000980435523832486,1.46147000901686
"parent_excitation_sparse","one_step_gamma_poisson","recruitment_50",100,0.8,0.000682377053666515,0.00316154967302752,0.00208341442086335,1.16128646174041
"standard","one_step_gamma_poisson","recruitment_50",98,0.326530612244898,0.109283714909212,0.184192943406612,0.0472012309897901,2.22369469582165
"parent_excitation_dense","recursive_gamma_poisson","recruitment_50",100,0.66,8.89143595620995e-05,0.00180277253403966,0.0009129629379515,1.53189684274336
"parent_excitation_sparse","recursive_gamma_poisson","recruitment_50",100,0.68,0.000740030282184596,0.00367143007142409,0.00184972818455937,1.57662559269582
"standard","recursive_gamma_poisson","recruitment_50",98,0.448979591836735,0.0650442224474666,0.132420744509478,0.0317039693449088,2.94155210460361
"parent_excitation_dense","one_step_gamma_poisson","recruitment_80",100,0.72,-0.000430477588178967,0.00997942762759967,0.00584661868941006,1.38053730338117
"parent_excitation_sparse","one_step_gamma_poisson","recruitment_80",100,0.82,0.00247431809250555,0.017190353909389,0.0121831340900318,1.09864203365867
"standard","one_step_gamma_poisson","recruitment_80",98,0.408163265306122,0.147655278594834,0.178062419676663,0.0840100146174928,2.00795065498828
"parent_excitation_dense","recursive_gamma_poisson","recruitment_80",100,0.7,-0.000299962871363784,0.00993142974266157,0.00548853964549915,1.45651811077715
"parent_excitation_sparse","recursive_gamma_poisson","recruitment_80",100,0.73,0.00280785036504287,0.019739020591852,0.0109636687146258,1.39226543278612
"standard","recursive_gamma_poisson","recruitment_80",98,0.479591836734694,0.0885258571504818,0.158049287271709,0.0631801002453762,2.45472105482184
"parent_excitation_dense","one_step_gamma_poisson","survival_110",100,1,0.00102314880346028,0.0068776517493494,0.0130748818725023,0.423903446761036
"parent_excitation_sparse","one_step_gamma_poisson","survival_110",100,0.99,-0.00392470599922946,0.0213901777384082,0.0264097962691488,0.687285420863157
"standard","one_step_gamma_poisson","survival_110",98,0.989795918367347,-0.026480649912709,0.044850031867139,0.0587849894125885,0.583357388277848
"parent_excitation_dense","recursive_gamma_poisson","survival_110",100,0.98,0.00206198321176142,0.00703704826839338,0.00795421129507488,0.702544169913307
"parent_excitation_sparse","recursive_gamma_poisson","survival_110",100,0.9,-0.000714628019763265,0.017349696414159,0.0157018647569624,0.892761318393886
"standard","recursive_gamma_poisson","survival_110",98,0.928571428571429,0.00115597427712929,0.0318517460124209,0.0310892233290801,0.819999583245176
"parent_excitation_dense","one_step_gamma_poisson","survival_50",100,0.99,-0.00050796900487959,0.00497023858266962,0.00693086236679945,0.602839386170792
"parent_excitation_sparse","one_step_gamma_poisson","survival_50",100,0.97,0.000602058782654242,0.01317416223895,0.0145679005118491,0.712946421638277
"standard","one_step_gamma_poisson","survival_50",98,0.826530612244898,0.0444549518842053,0.0549780753135796,0.035612767135513,1.27495679953604
"parent_excitation_dense","recursive_gamma_poisson","survival_50",100,0.97,-0.00125073193521574,0.00666359287432058,0.00744691571858077,0.738766502721109
"parent_excitation_sparse","recursive_gamma_poisson","survival_50",100,0.96,-0.000985571148067623,0.0135632246090467,0.0145765930076398,0.74856784441969
"standard","recursive_gamma_poisson","survival_50",98,0.948979591836735,0.00589383077740085,0.0254262369157063,0.0240525476164961,0.8279243591359
"parent_excitation_dense","one_step_gamma_poisson","survival_80",100,1,0.000678237707563734,0.0059444756176261,0.0103521782560169,0.479231956347794
"parent_excitation_sparse","one_step_gamma_poisson","survival_80",100,0.99,-0.001486637269626,0.0167475239138425,0.0208389249322457,0.65562561537308
"standard","one_step_gamma_poisson","survival_80",98,1,0.0077677282825377,0.0275215574637868,0.0413529258246743,0.533433067284365
"parent_excitation_dense","recursive_gamma_poisson","survival_80",100,0.97,0.000918876989791506,0.00604063676446237,0.00696906054316139,0.699264438353106
"parent_excitation_sparse","recursive_gamma_poisson","survival_80",100,0.92,-0.000617661721584517,0.0149452209174787,0.0137296297965726,0.881557793285986
"standard","recursive_gamma_poisson","survival_80",98,0.918367346938776,0.00568366599642209,0.0245092520564867,0.0236163542610677,0.835763401200023
