"scenario","replicate","method","success","error","positive_definite","condition_number"
"parent_excitation_dense",16,"recursive_gamma_poisson",TRUE,"",TRUE,100457.7555255
"parent_excitation_dense",16,"one_step_gamma_poisson",TRUE,"",TRUE,94354.0415649044
"standard",17,"recursive_gamma_poisson",TRUE,"",TRUE,3514.44842684824
"standard",17,"one_step_gamma_poisson",TRUE,"",TRUE,1395.76255653311
"parent_excitation_sparse",17,"recursive_gamma_poisson",TRUE,"",TRUE,55684.0813049532
"parent_excitation_sparse",17,"one_step_gamma_poisson",TRUE,"",TRUE,37859.95281815
"parent_excitation_dense",17,"recursive_gamma_poisson",TRUE,"",TRUE,9752.66678056647
"parent_excitation_dense",17,"one_step_gamma_poisson",TRUE,"",TRUE,17286.2042402909
"standard",18,"recursive_gamma_poisson",TRUE,"",TRUE,6953.66632340165
"standard",18,"one_step_gamma_poisson",TRUE,"",TRUE,565.252535772402
"parent_excitation_sparse",18,"recursive_gamma_poisson",TRUE,"",TRUE,53126.7186672041
"parent_excitation_sparse",18,"one_step_gamma_poisson",TRUE,"",TRUE,14669.6301191535
"parent_excitation_dense",18,"recursive_gamma_poisson",TRUE,"",TRUE,40497.961511147
"parent_excitation_dense",18,"one_step_gamma_poisson",TRUE,"",TRUE,24401.3100040038
"standard",19,"recursive_gamma_poisson",TRUE,"",TRUE,1199.97917381977
"standard",19,"one_step_gamma_poisson",TRUE,"",TRUE,802.526392403043
"parent_excitation_sparse",19,"recursive_gamma_poisson",TRUE,"",TRUE,2366.57682890884
"parent_excitation_sparse",19,"one_step_gamma_poisson",TRUE,"",TRUE,678.795284649252
"parent_excitation_dense",19,"recursive_gamma_poisson",TRUE,"",TRUE,92941.6460504593
"parent_excitation_dense",19,"one_step_gamma_poisson",TRUE,"",TRUE,110127.368262823
"standard",20,"recursive_gamma_poisson",TRUE,"",TRUE,8443.01610262304
"standard",20,"one_step_gamma_poisson",TRUE,"",TRUE,1389.04521795652
"parent_excitation_sparse",20,"recursive_gamma_poisson",TRUE,"",TRUE,8058.84629417007
"parent_excitation_sparse",20,"one_step_gamma_poisson",TRUE,"",TRUE,10282.2559996407
"parent_excitation_dense",20,"recursive_gamma_poisson",TRUE,"",TRUE,35214.5831812583
"parent_excitation_dense",20,"one_step_gamma_poisson",TRUE,"",TRUE,32017.3552067111
"standard",21,"recursive_gamma_poisson",TRUE,"",TRUE,3449.32950693775
"standard",21,"one_step_gamma_poisson",TRUE,"",TRUE,1720.9441841431
"parent_excitation_sparse",21,"recursive_gamma_poisson",TRUE,"",TRUE,31299.2698228835
