"regime","replicate","curve_rmse","coverage_at_80","error_at_80","width_at_80","robust_weight"
"correct_full_200",17,0.21737438711167,TRUE,-0.0218802672287795,0.0936538469698264,NA
"correct_full_50",17,0.208543866884666,TRUE,-0.0426738622212042,0.1165555023139,NA
"correct_full_800",17,0.114575308149918,TRUE,0.00732686354931339,0.0623045683842722,NA
"weak",17,0.30787997131121,FALSE,-0.0985097274476519,0.129915549611899,NA
"biased_full_800",18,0.0891810102721149,FALSE,0.145835886360819,0.0870273839211504,NA
"biased_robust_800",18,0.105261165631832,FALSE,0.164756773776699,0.241066056127163,0.74082567251743
"correct_full_200",18,0.11271882307087,FALSE,0.0723773156524728,0.164477903925221,NA
"correct_full_50",18,0.19038262160535,FALSE,0.176279547740074,0.29921090411544,NA
"correct_full_800",18,0.0199557427943865,TRUE,0.0333821299667123,0.0729534559994871,NA
"weak",18,0.235817451695814,FALSE,0.229758150917841,0.359766825056248,NA
"biased_full_800",19,0.0540740693249528,FALSE,0.087479183132046,0.07977542303347,NA
"biased_robust_800",19,0.0785497976142065,TRUE,0.0137536187082121,0.254727197445022,0.495752398854766
"correct_full_200",19,0.11359816946886,TRUE,-0.0428097133533173,0.104092003697083,NA
"correct_full_50",19,0.174095989431144,TRUE,-0.067689035611968,0.145903781105827,NA
"correct_full_800",19,0.0431438017694826,TRUE,0.0256102974706572,0.0697296804245427,NA
"weak",19,0.159236963662033,TRUE,-0.0565799452518814,0.205259455291659,NA
"biased_full_800",20,0.0663951997302251,FALSE,0.105305767502601,0.0820237291951126,NA
"biased_robust_800",20,0.0665785369440226,FALSE,0.104500385717595,0.0820059188411109,0.991715871778824
"correct_full_200",20,0.0338548714465194,TRUE,0.0543605869184272,0.134964547715561,NA
"correct_full_50",20,0.104169112995048,TRUE,0.0743048335696299,0.184981405095761,NA
"correct_full_800",20,0.119933608591726,TRUE,0.0197023820738578,0.071157106070572,NA
"weak",20,0.108304444594043,TRUE,0.0790182010174448,0.22377800065232,NA
"biased_full_800",21,0.139103292255777,FALSE,0.058801747392811,0.0734887801709923,NA
"biased_robust_800",21,0.14009226514013,FALSE,0.0597710597374093,0.0726841830955596,0.989818199014255
"correct_full_200",21,0.160466042370622,TRUE,0.0100894078169504,0.110802525766768,NA
"correct_full_50",21,0.107679887857757,TRUE,-0.00219658788781363,0.135665770608888,NA
"correct_full_800",21,0.0983278613618362,TRUE,-0.00886788264034816,0.062211538013502,NA
"weak",21,0.125540178341455,TRUE,-0.00345214412540579,0.170208876562841,NA
"biased_full_800",22,0.101631167843924,FALSE,0.122701214382337,0.0758221524050379,NA
"biased_robust_800",22,0.100510326559064,FALSE,0.120609736512599,0.0890715579697672,0.979708116973018
"correct_full_200",22,0.137919059584692,TRUE,0.0122534163519856,0.129224527900592,NA
"correct_full_50",22,0.113399736986621,FALSE,0.0772864721100413,0.162281249264667,NA
"correct_full_800",22,0.0646989248172277,TRUE,0.00851086186254421,0.0733787443602698,NA
"weak",22,0.143914560246443,TRUE,0.0592366889909705,0.213814133492716,NA
"biased_full_800",23,0.07025131265893,FALSE,0.113413704201573,0.0883537536006648,NA
"biased_robust_800",23,0.07010958061377,FALSE,0.113544716115971,0.0908419135412546,0.993982588617805
"correct_full_200",23,0.0482778292021967,FALSE,0.0766853579186766,0.162050500027972,NA
"correct_full_50",23,0.0841209559993649,FALSE,0.139096964271331,0.236290538609283,NA
"correct_full_800",23,0.0558248349026926,FALSE,0.0372844637798926,0.0784086209499065,NA
"weak",23,0.131992345112072,FALSE,0.198041957070443,0.264863067901394,NA
"biased_full_800",24,0.110670873228323,FALSE,0.127817966479784,0.0859481608723093,NA
"biased_robust_800",24,0.807084178281527,FALSE,-0.177340897204035,0.0116999885197653,6.45751818109015e-11
"correct_full_200",24,0.0545559362165848,TRUE,0.0358296182051615,0.134756103285976,NA
"correct_full_50",24,0.291010917523439,FALSE,-0.0951291497105112,0.103122618810844,NA
"correct_full_800",24,0.102942024415105,TRUE,-0.00779868917116619,0.0634407841589658,NA
"weak",24,0.806957608971382,FALSE,-0.177356903212535,0.0103435535999051,NA
"biased_full_800",25,0.0976152552547399,FALSE,0.160429927072945,0.0918267076553333,NA
"biased_robust_800",25,0.0981250820049726,FALSE,0.161436654728266,0.0984961749078709,0.993916366606432
"correct_full_200",25,0.0688622068578293,FALSE,0.0938014720546423,0.179207720184955,NA
"correct_full_50",25,0.137818777477146,FALSE,0.220942614387223,0.334242389092763,NA
"correct_full_800",25,0.0615519722387984,TRUE,0.0327556086595182,0.0797481521507075,NA
"weak",25,0.218385224852793,FALSE,0.307260503026221,0.514470174409714,NA
"biased_full_800",26,0.0878570306184868,FALSE,0.132991660760549,0.0873762569569366,NA
