"quantity","truth","posterior_mean","posterior_sd","q025","median","q975","covers_truth","design","process_model"
"survival_110",0.789181706522253,0.786289214195657,0.0144565460206722,0.764580783441136,0.783597464332591,0.824028517970891,TRUE,"one_by_twelve","correlated_log_gaussian"
"growth_increment_50",12,12.0542951641396,0.19149888969988,11.6415803390856,12.0634419845271,12.4175064800565,TRUE,"one_by_twelve","correlated_log_gaussian"
"growth_increment_80",8.4,8.46209342988817,0.144353132827371,8.13072093038777,8.4741822607255,8.7197733937282,TRUE,"one_by_twelve","correlated_log_gaussian"
"growth_increment_110",4.8,4.86989169563668,0.12437100285209,4.59120291166259,4.87978479399455,5.1014113645005,TRUE,"one_by_twelve","correlated_log_gaussian"
"growth_sd.log_growth_sd",4.5,3.97366040156192,0.233259228242501,3.50865662987478,3.98547220087796,4.41126206639409,FALSE,"one_by_twelve","correlated_log_gaussian"
"recruitment_50",0.019387103915861,0.0155125836599867,0.00311513939259363,0.00941257918576162,0.0153623788639025,0.0221781906070996,TRUE,"one_by_twelve","correlated_log_gaussian"
"recruitment_80",0.183939720585721,0.160776942824251,0.0192231932501331,0.121070530887498,0.160259263286116,0.200089070641249,TRUE,"one_by_twelve","correlated_log_gaussian"
"recruitment_110",1.74517147873092,1.67812916633957,0.0714107423038654,1.53747562990482,1.67648762067203,1.83549925985308,TRUE,"one_by_twelve","correlated_log_gaussian"
"recruit_mean_50",44,43.8815002050408,0.35707913433762,43.1461834839751,43.8720815422222,44.5714660149393,TRUE,"one_by_twelve","correlated_log_gaussian"
"recruit_mean_80",44.6,44.5121188991762,0.228886613328739,44.0454069940753,44.5108425900098,44.954059879057,TRUE,"one_by_twelve","correlated_log_gaussian"
"recruit_mean_110",45.2,45.1427375933116,0.105065006710478,44.9313947614444,45.144215729496,45.3491127426102,TRUE,"one_by_twelve","correlated_log_gaussian"
"recruit_sd.log_recruit_sd",3.5,3.47230588318485,0.0350276451084965,3.40550527220364,3.47221671768681,3.54153808119587,TRUE,"one_by_twelve","correlated_log_gaussian"
"lambda",1.03119869581319,1.03212616106429,0.0131934623193531,1.01371454107249,1.02841042777682,1.06040585664896,TRUE,"one_by_twelve","correlated_log_gaussian"
"survival_50",0.354343693774205,0.352773015464497,0.00447637321873163,0.344428004914519,0.352580498321759,0.361572729882246,TRUE,"three_by_four","poisson"
"survival_80",0.589040434058665,0.585811641974137,0.00470096200476761,0.576518620317921,0.585774070886422,0.594977096236157,TRUE,"three_by_four","poisson"
"survival_110",0.789181706522253,0.785827526407319,0.0062346461972075,0.77349137902732,0.786034730258663,0.798002854920134,TRUE,"three_by_four","poisson"
"growth_increment_50",12,12.3586500470753,0.208610687484603,11.9412128167961,12.3627446527102,12.7345074643485,TRUE,"three_by_four","poisson"
"growth_increment_80",8.4,8.83811948939742,0.15726958655098,8.52633404128968,8.83921819457285,9.13120897603932,FALSE,"three_by_four","poisson"
"growth_increment_110",4.8,5.31758893171961,0.153927441330222,5.01465220435746,5.31488763021572,5.62003573776262,FALSE,"three_by_four","poisson"
"growth_sd.log_growth_sd",4.5,4.01514742063854,0.22236799110219,3.60432244858601,4.0055824500034,4.46022056943178,FALSE,"three_by_four","poisson"
"recruitment_50",0.019387103915861,0.0237426539929162,0.00342858069413941,0.0176457065464265,0.0237535989541236,0.0309742437150554,TRUE,"three_by_four","poisson"
"recruitment_80",0.183939720585721,0.20996626604831,0.0159539804181753,0.179827622523899,0.210540515308372,0.241687641511267,TRUE,"three_by_four","poisson"
"recruitment_110",1.74517147873092,1.86569983861793,0.0283664084394631,1.80937777498552,1.86593879916768,1.91865136975252,FALSE,"three_by_four","poisson"
"recruit_mean_50",44,44.1620212790664,0.453816037258185,43.2546822818529,44.169331318137,45.0971424669326,TRUE,"three_by_four","poisson"
"recruit_mean_80",44.6,44.7190138343286,0.257322081472185,44.2110439113191,44.7246131176177,45.2346610933293,TRUE,"three_by_four","poisson"
"recruit_mean_110",45.2,45.2760063895911,0.071192330491325,45.1287075923098,45.2783681426495,45.4100635683694,TRUE,"three_by_four","poisson"
"recruit_sd.log_recruit_sd",3.5,3.48457939242541,0.0383928710143484,3.40731807993817,3.482948438248,3.55731036246946,TRUE,"three_by_four","poisson"
"lambda",1.03119869581319,1.04659129155329,0.00377907551248344,1.03899249859253,1.04659064074163,1.05399935832204,FALSE,"three_by_four","poisson"
"survival_50",0.354343693774205,0.35306014461176,0.00450486203682768,0.344441148953296,0.353039791504969,0.362102047330067,TRUE,"three_by_four","gamma_poisson"
"survival_80",0.589040434058665,0.585251332668713,0.00483665100930206,0.575889572667011,0.585478209938066,0.594856910888921,TRUE,"three_by_four","gamma_poisson"
"survival_110",0.789181706522253,0.784834959723105,0.00639829368652522,0.772102563588453,0.784789046105323,0.796978838797263,TRUE,"three_by_four","gamma_poisson"
"growth_increment_50",12,12.3678229917694,0.214859772697922,11.9281563851406,12.3808400200883,12.7788487588579,TRUE,"three_by_four","gamma_poisson"
"growth_increment_80",8.4,8.84041651392552,0.160529586832143,8.51567472868663,8.84498824199942,9.14494752045791,FALSE,"three_by_four","gamma_poisson"
"growth_increment_110",4.8,5.31301003608166,0.149752507879038,5.0158388512013,5.3160704705519,5.59393066448774,FALSE,"three_by_four","gamma_poisson"
"growth_sd.log_growth_sd",4.5,4.04666043119569,0.22301061883031,3.60510188163541,4.05262617924178,4.48851117659237,FALSE,"three_by_four","gamma_poisson"
"recruitment_50",0.019387103915861,0.0235057793354661,0.00375917170745859,0.016441976972787,0.0232788017481846,0.0312736229357139,TRUE,"three_by_four","gamma_poisson"
"recruitment_80",0.183939720585721,0.208758206607074,0.0178487833326121,0.172675544731821,0.208595985683522,0.243568990512242,TRUE,"three_by_four","gamma_poisson"
"recruitment_110",1.74517147873092,1.86465289401462,0.0322858142883685,1.79828253959874,1.86532882719434,1.92727237208547,FALSE,"three_by_four","gamma_poisson"
"recruit_mean_50",44,44.2185297371683,0.477908171872311,43.2607067332093,44.2335309332673,45.1410966113828,TRUE,"three_by_four","gamma_poisson"
"recruit_mean_80",44.6,44.7515763634608,0.271672838247965,44.2108580281708,44.760657088362,45.2746667378107,TRUE,"three_by_four","gamma_poisson"
"recruit_mean_110",45.2,45.2846229897531,0.0764270329559676,45.123225295741,45.287452096889,45.4230118478272,TRUE,"three_by_four","gamma_poisson"
"recruit_sd.log_recruit_sd",3.5,3.48818368323206,0.0383991586788968,3.41166512062157,3.49013757119077,3.56082115115267,TRUE,"three_by_four","gamma_poisson"
"lambda",1.03119869581319,1.046024746506,0.00370737545182206,1.03860695336139,1.04612378439497,1.05303977240888,FALSE,"three_by_four","gamma_poisson"
"survival_50",0.354343693774205,0.352622308477101,0.00489536118405529,0.343493035310869,0.352417824864059,0.362478877885181,TRUE,"three_by_four","correlated_log_gaussian"
"survival_80",0.589040434058665,0.58558926863687,0.00494387637082065,0.576008374456573,0.585562286597388,0.595104844482411,TRUE,"three_by_four","correlated_log_gaussian"
"survival_110",0.789181706522253,0.785623731537833,0.00666800066109557,0.772464925581535,0.785614607893748,0.798597179222795,TRUE,"three_by_four","correlated_log_gaussian"
"growth_increment_50",12,12.37411906337,0.200147500776961,11.9852784210795,12.3769348315825,12.7643995901276,TRUE,"three_by_four","correlated_log_gaussian"
"growth_increment_80",8.4,8.83609608372403,0.149479382780568,8.54210318999206,8.83691262051057,9.12692356193712,FALSE,"three_by_four","correlated_log_gaussian"
"growth_increment_110",4.8,5.29807310407806,0.148131918580346,5.01280714555471,5.30082512197599,5.58772400926581,FALSE,"three_by_four","correlated_log_gaussian"
"growth_sd.log_growth_sd",4.5,4.02978367674442,0.212556411729924,3.62449669467144,4.02809108457082,4.45497557613145,FALSE,"three_by_four","correlated_log_gaussian"
"recruitment_50",0.019387103915861,0.0232303538639728,0.0037356179125603,0.0164427736522033,0.023108551898614,0.0306162091995897,TRUE,"three_by_four","correlated_log_gaussian"
"recruitment_80",0.183939720585721,0.207663491888579,0.0178481553404713,0.17258596386409,0.207739042109442,0.242345852177607,TRUE,"three_by_four","correlated_log_gaussian"
"recruitment_110",1.74517147873092,1.86707482862275,0.0337421736789853,1.79989016659463,1.86689444589906,1.92951692938472,FALSE,"three_by_four","correlated_log_gaussian"
"recruit_mean_50",44,44.1919401649203,0.460125446540624,43.2660477576994,44.2036096370083,45.1179605022088,TRUE,"three_by_four","correlated_log_gaussian"
"recruit_mean_80",44.6,44.7374204859047,0.26245793466001,44.2167183207525,44.7405072095284,45.2665626361647,TRUE,"three_by_four","correlated_log_gaussian"
"recruit_mean_110",45.2,45.2829008068896,0.0767938567027484,45.1295329678131,45.285362110828,45.4346253741693,TRUE,"three_by_four","correlated_log_gaussian"
"recruit_sd.log_recruit_sd",3.5,3.48749108776382,0.0398019117385123,3.40358987652204,3.4872290813027,3.56659507670075,TRUE,"three_by_four","correlated_log_gaussian"
"lambda",1.03119869581319,1.04644419711208,0.00482329567228966,1.03676739785165,1.04668195739886,1.05535931303036,FALSE,"three_by_four","correlated_log_gaussian"
"survival_50",0.354343693774205,0.354137902133658,0.00490664334718525,0.344808867523334,0.354025411432169,0.364201651808154,TRUE,"six_by_two","poisson"
"survival_80",0.589040434058665,0.596053198405642,0.00668419329319174,0.583389730650488,0.595987013075768,0.609144848477086,TRUE,"six_by_two","poisson"
"survival_110",0.789181706522253,0.798702870984562,0.00930482127847493,0.780520178570602,0.798796129108625,0.816316292828832,TRUE,"six_by_two","poisson"
"growth_increment_50",12,11.7524574244328,0.275957939797311,11.1950486759498,11.7546791601802,12.2809402998384,TRUE,"six_by_two","poisson"
"growth_increment_80",8.4,8.3055738272103,0.204945798840833,7.87659274377226,8.30688100847281,8.69401075045057,TRUE,"six_by_two","poisson"
"growth_increment_110",4.8,4.85869022998783,0.205103096625432,4.45380431702745,4.86280624992898,5.2550610299638,TRUE,"six_by_two","poisson"
"growth_sd.log_growth_sd",4.5,4.7125754100685,0.226649856207311,4.27471990593024,4.71017556195084,5.15167537891383,TRUE,"six_by_two","poisson"
"recruitment_50",0.019387103915861,0.0391727436815937,0.0069700344648521,0.026965888776904,0.0385319483412365,0.0543203507017743,FALSE,"six_by_two","poisson"
"recruitment_80",0.183939720585721,0.262173009246617,0.021442604045146,0.219990192482845,0.261832148000127,0.305295479423042,FALSE,"six_by_two","poisson"
"recruitment_110",1.74517147873092,1.77074718967746,0.0349019578297798,1.69742618925189,1.77365146035315,1.83220987316557,TRUE,"six_by_two","poisson"
"recruit_mean_50",44,44.394305966911,0.646086646717353,43.0912602971921,44.3873402780519,45.7077420414333,TRUE,"six_by_two","poisson"
"recruit_mean_80",44.6,44.8354601092568,0.310403354551419,44.1765733180507,44.8323476060585,45.464559195206,TRUE,"six_by_two","poisson"
"recruit_mean_110",45.2,45.2766142516026,0.0659009526031252,45.1514783868074,45.2744728570945,45.4070932883473,TRUE,"six_by_two","poisson"
"recruit_sd.log_recruit_sd",3.5,3.47128909499716,0.0503524137846673,3.35733281438851,3.47627461601605,3.56080190145122,TRUE,"six_by_two","poisson"
"lambda",1.03119869581319,1.02596580310267,0.00685103418121415,1.01242005871518,1.02600729207727,1.03991655832301,TRUE,"six_by_two","poisson"
