"quantity","truth","posterior_mean","posterior_sd","q025","median","q975","covers_truth","transitions","prior_regime","process_model"
"growth_sd.log_growth_sd",4.5,4.89981527434928,0.258364762192506,4.4183935430041,4.88845882100232,5.43797362495353,TRUE,8,"weak","gamma_poisson"
"recruitment_50",0.019387103915861,0.0287807071301758,0.00489120281602093,0.0202181457983966,0.0285724631604627,0.038924557507124,FALSE,8,"weak","gamma_poisson"
"recruitment_80",0.183939720585721,0.239863857666241,0.0223093926615844,0.197747884746336,0.239625536838475,0.284032167355373,FALSE,8,"weak","gamma_poisson"
"recruitment_110",1.74517147873092,2.01102460528586,0.0521387124127642,1.91181073858467,2.01097487822794,2.10870011050158,FALSE,8,"weak","gamma_poisson"
"recruit_mean_50",44,43.8192978718042,0.569799225271343,42.7131324790415,43.8260519365746,44.9280354886526,TRUE,8,"weak","gamma_poisson"
"recruit_mean_80",44.6,44.5118187234148,0.341894024032892,43.8352297395819,44.5130318809144,45.1767768945047,TRUE,8,"weak","gamma_poisson"
"recruit_mean_110",45.2,45.2043395750251,0.129727659782359,44.941210576976,45.207815944399,45.4665869275625,TRUE,8,"weak","gamma_poisson"
"recruit_sd.log_recruit_sd",3.5,3.76501494375575,0.0578405841342157,3.64840893685039,3.76590989283997,3.87749991593096,FALSE,8,"weak","gamma_poisson"
"lambda",1.0294523184952,1.01845425995184,0.00274345564612375,1.01298990753577,1.01847752571599,1.02359225265862,FALSE,8,"weak","gamma_poisson"
"survival_50",0.354343693774205,0.358633097334203,0.00644655965314625,0.346639188015738,0.35843858200682,0.371965150668436,TRUE,12,"weak","gamma_poisson"
"survival_80",0.589040434058665,0.5877099137427,0.00528907135364139,0.57756711879402,0.587505554354236,0.598169022917988,TRUE,12,"weak","gamma_poisson"
"survival_110",0.789181706522253,0.784198371961109,0.00455805556858347,0.775745769366816,0.784185911663479,0.793085035562588,TRUE,12,"weak","gamma_poisson"
"growth_increment_50",12,11.5410741650547,0.253795924263349,11.0290407118649,11.5372548640141,12.0328057813428,TRUE,12,"weak","gamma_poisson"
"growth_increment_80",8.4,8.05615482885046,0.174012917405933,7.72106048675955,8.05731778572944,8.39599835486164,FALSE,12,"weak","gamma_poisson"
"growth_increment_110",4.8,4.57123549264622,0.120458439228743,4.34114837975023,4.57164993075046,4.81496517652806,TRUE,12,"weak","gamma_poisson"
"growth_sd.log_growth_sd",4.5,4.85353264997218,0.199714360016704,4.45910395627273,4.85057241245838,5.26703343499573,TRUE,12,"weak","gamma_poisson"
"recruitment_50",0.019387103915861,0.0298572023831494,0.00400103521269585,0.0225913891497971,0.0296625380941331,0.0381090783592968,FALSE,12,"weak","gamma_poisson"
"recruitment_80",0.183939720585721,0.245546484151072,0.0187190287057836,0.210160141000783,0.24480172654132,0.282722220406554,FALSE,12,"weak","gamma_poisson"
"recruitment_110",1.74517147873092,2.02644375423322,0.0532729170424513,1.92373427232516,2.02549909758066,2.13488416924106,FALSE,12,"weak","gamma_poisson"
"recruit_mean_50",44,44.0162305349618,0.415859983907341,43.1889448811554,44.0056697955657,44.800612688184,TRUE,12,"weak","gamma_poisson"
"recruit_mean_80",44.6,44.6167442365979,0.260572581213108,44.1043102296567,44.6068042506974,45.1156411122857,TRUE,12,"weak","gamma_poisson"
"recruit_mean_110",45.2,45.2172579382338,0.116053491157474,44.9924254129661,45.2115003680515,45.4447889009969,TRUE,12,"weak","gamma_poisson"
"recruit_sd.log_recruit_sd",3.5,3.69816351758082,0.0457512045800836,3.60055850517259,3.69767097397384,3.78494126854794,FALSE,12,"weak","gamma_poisson"
"lambda",1.0294523184952,1.01981398003631,0.00160299410194167,1.01658130746635,1.01979900408344,1.02277931706243,FALSE,12,"weak","gamma_poisson"
