"parameter","truth","prior_mean","prior_sd","posterior_mean","posterior_sd","q025","median","q975","covers_truth","contraction","standardized_bias","rhat","ess","transitions","prior_regime"
"survival_slope_20",0.64,0.5,1,0.623651886596404,0.0266571448317608,0.571003281823181,0.624002852200442,0.675969539852452,TRUE,0.973342855168239,-0.613273233377877,1.00454832084614,315.229483243836,4,"weak"
"growth_increment_80",8.4,8,6,7.87399270060576,0.307181816954878,7.25023624578238,7.87072960726176,8.49387415240638,TRUE,0.94880303050752,-1.71236469856388,1.01080421230317,258.091346196306,4,"weak"
"growth_slope_20",-2.4,-2,3,-2.39397126827136,0.121378276005695,-2.61898605771098,-2.39366831511819,-2.15010256538078,TRUE,0.959540574664768,0.0496689517023209,1.01098154976063,297.641133682981,4,"weak"
"log_growth_sd",1.50407739677627,1.6094379124341,0.7,1.54889483165282,0.0732068816281709,1.39949604533401,1.55148290914054,1.69499288163829,TRUE,0.895418740531184,0.612202485337094,1.03144623073163,323.884219905222,4,"weak"
"log_recruitment_at_80",-1.69314718055995,-1.6094379124341,1.5,-1.77311153844276,0.191514885736837,-2.19616711953794,-1.75789728381229,-1.43525408913202,TRUE,0.872323409508776,-0.417535992438184,1.00898891109921,211.203908914572,4,"weak"
"recruitment_slope_20",1.5,1,1,1.60938938956837,0.107739366508002,1.40629011178126,1.60370523465899,1.83883554689271,TRUE,0.892260633491998,1.01531495045727,1.00874050773174,222.563349822244,4,"weak"
"recruit_mean_80",44.6,45,10,43.9149837899845,0.545702470758278,42.7776697215809,43.9189471535941,44.9659960833042,TRUE,0.945429752924172,-1.25529248394936,1.01282426638835,236.571581866018,4,"weak"
"recruit_mean_slope_20",0.4,0,2,0.72989555269754,0.266547646210106,0.207175173077333,0.727455108047145,1.25999909251562,TRUE,0.866726176894947,1.23766072365726,1.01525060425124,242.247231865589,4,"weak"
"log_recruit_sd",1.25276296849537,1.38629436111989,0.7,1.33158509939981,0.0202942998460104,1.29064985647067,1.33201803291701,1.36889458932964,FALSE,0.971008143077128,3.88395418923175,1.00860618787154,238.41381984549,4,"weak"
"survival_at_80",0.36,0.405465108108164,1.5,0.354104595293045,0.0240248368398108,0.308687490428588,0.354267872227094,0.40081988401286,TRUE,0.983983442106793,-0.24538791860536,1.01181029564943,296.610513295965,8,"weak"
"survival_slope_20",0.64,0.5,1,0.603106401252457,0.0135388357222841,0.577082340979113,0.602583340620555,0.628913888320641,FALSE,0.986461164277716,-2.72502004635586,1.00363731245466,329.189032530674,8,"weak"
"growth_increment_80",8.4,8,6,8.05579814084701,0.193711184887679,7.66838392401952,8.06367655310833,8.4082496833735,TRUE,0.96771480251872,-1.77688169814547,1.01066409331442,314.988429542709,8,"weak"
"growth_slope_20",-2.4,-2,3,-2.37374553898261,0.0760086758321339,-2.51210356450965,-2.3729521236516,-2.21579330449833,TRUE,0.974663774722622,0.345414003466865,1.01224928449402,211.046631505934,8,"weak"
"log_growth_sd",1.50407739677627,1.6094379124341,0.7,1.59748525760211,0.048224751405711,1.50457471602409,1.59806851610344,1.69002867359284,FALSE,0.931107497991841,1.93692778299676,1.00746564939277,300.337686634084,8,"weak"
"log_recruitment_at_80",-1.69314718055995,-1.6094379124341,1.5,-1.4706485209448,0.0790365659104555,-1.62929049163478,-1.46547419561761,-1.32562724678489,FALSE,0.947308956059696,2.81513571664063,1.0102170336217,341.154594470314,8,"weak"
"recruitment_slope_20",1.5,1,1,1.44327178432688,0.0464605375337965,1.36190991022546,1.44128971007143,1.53545597685381,TRUE,0.953539462466203,-1.22099783352393,1.01024737028926,329.01515027343,8,"weak"
"recruit_mean_80",44.6,45,10,44.5029575856853,0.26359673104325,44.0066308372064,44.4917501131662,45.0524513384092,TRUE,0.973640326895675,-0.368147260137301,1.00870445156277,317.277556126538,8,"weak"
"recruit_mean_slope_20",0.4,0,2,0.452058901260987,0.11756356899535,0.207833426130684,0.455418869865579,0.676959634085469,TRUE,0.941218215502325,0.442814910314998,1.0088016470776,318.948758564218,8,"weak"
"log_recruit_sd",1.25276296849537,1.38629436111989,0.7,1.32559171901217,0.0112766416875066,1.30360194888962,1.32513890706262,1.34659678704941,FALSE,0.98389051187499,6.45837231819512,1.00810238127697,304.069395590961,8,"weak"
"survival_at_80",0.36,0.405465108108164,1.5,0.359401474951755,0.0179809870126811,0.326220318499194,0.359034720912652,0.39443345860951,TRUE,0.988012675324879,-0.0332865513902504,1.00745529219174,237.645436749187,12,"weak"
"survival_slope_20",0.64,0.5,1,0.63290392546123,0.00964178140494174,0.613231263178674,0.632938230256234,0.651726961739351,TRUE,0.990358218595058,-0.7359713149204,1.03150731936035,210.134736567079,12,"weak"
"growth_increment_80",8.4,8,6,8.054560084667,0.146868962360227,7.77286136852009,8.05436094542341,8.34189297619848,FALSE,0.975521839606629,-2.35202802404049,1.0121469625655,256.760450389917,12,"weak"
"growth_slope_20",-2.4,-2,3,-2.32880913366424,0.0527399975142308,-2.43234128553045,-2.32671422220299,-2.22840503578844,TRUE,0.98242000082859,1.34984584169819,1.01147391110733,222.215075227361,12,"weak"
"log_growth_sd",1.50407739677627,1.6094379124341,0.7,1.5734309826788,0.0369550977490479,1.49850330627859,1.57397619020569,1.64345633688844,TRUE,0.947207003215646,1.87669875407957,1.01478361122421,266.306488788197,12,"weak"
"log_recruitment_at_80",-1.69314718055995,-1.6094379124341,1.5,-1.4561755638828,0.0632044860935894,-1.59014002685346,-1.45552734335105,-1.3399082988473,FALSE,0.957863675937607,3.74928476320898,1.01942212704395,276.90424054374,12,"weak"
"recruitment_slope_20",1.5,1,1,1.42681308800179,0.0345021131899365,1.36202029580266,1.42637028733844,1.49681620186004,FALSE,0.965497886810064,-2.1212298387439,1.01322104336284,296.194662091275,12,"weak"
"recruit_mean_80",44.6,45,10,44.6628368823385,0.19660998293662,44.2923827096698,44.6650966330663,45.0586145180115,TRUE,0.980339001706338,0.319601687564073,1.03048654222522,219.920499565706,12,"weak"
"recruit_mean_slope_20",0.4,0,2,0.380593696006776,0.078176874979506,0.223330376458797,0.380589756196787,0.534184618447564,TRUE,0.960911562510247,-0.248235862565646,1.03377409524336,208.100734949792,12,"weak"
"log_recruit_sd",1.25276296849537,1.38629436111989,0.7,1.31332859488605,0.00805892530080061,1.29764667437448,1.31306669970204,1.32897875889313,FALSE,0.988487249570285,7.51534778274534,1.03259046937674,312.188385279566,12,"weak"
"survival_at_80",0.36,0.36,0.3,0.33479450241849,0.0645311118816497,0.218270269831896,0.333250603476067,0.467894056832088,TRUE,0.784896293727834,-0.390594503124887,1.02012561218225,272.522966339836,2,"informative"
"survival_slope_20",0.64,0.64,0.2,0.646851921718153,0.0492404379644116,0.550390698047544,0.647049498623491,0.742203267936342,TRUE,0.753797810177942,0.139152330917642,1.01452759977632,249.407794980629,2,"informative"
"growth_increment_80",8.4,8.4,2,8.16790517102749,0.525406115110226,7.08865423263023,8.18753307704066,9.13638546347155,TRUE,0.737296942444887,-0.441743676553546,1.02691471937123,242.027610277046,2,"informative"
"growth_slope_20",-2.4,-2.4,1,-2.52264030901158,0.219935863715361,-2.92261986131077,-2.53193394921261,-2.05050745760553,TRUE,0.780064136284639,-0.557618511778051,1.0250571015275,250.962963214307,2,"informative"
"log_growth_sd",1.50407739677627,1.50407739677627,0.2,1.55806697877986,0.10153967810629,1.35875986680196,1.55743467995738,1.75835316766471,TRUE,0.492301609468549,0.531709209744325,1.01237702301296,371.984495698579,2,"informative"
"log_recruitment_at_80",-1.69314718055995,-1.69314718055995,0.3,-1.65161501253834,0.212220206859625,-2.09905341694329,-1.6429061786662,-1.27663383961991,TRUE,0.292599310467916,0.195703173774951,1.01895151474261,274.110114275283,2,"informative"
"recruitment_slope_20",1.5,1.5,0.3,1.54071181274127,0.130021185736349,1.30322811452854,1.53799157958305,1.8045579082908,TRUE,0.566596047545502,0.313116762554538,1.02002023444911,284.720117954682,2,"informative"
"recruit_mean_80",44.6,44.6,2,45.2295155893958,0.704993988286679,43.8188432422844,45.2293907375712,46.6166532786781,TRUE,0.64750300585666,0.892937528340719,1.02754143084181,265.710869038546,2,"informative"
"recruit_mean_slope_20",0.4,0.4,0.5,-0.0386860163597744,0.41623010128585,-0.869959078662127,-0.034471267792915,0.771292090559261,TRUE,0.167539797428301,-1.0539507234209,1.02599410242766,263.781376733473,2,"informative"
