"quantity","truth","posterior_mean","posterior_sd","q025","median","q975","covers_truth","transitions","prior_regime"
"growth_sd.log_growth_sd",4.5,4.94435548037727,0.239751058687968,4.49896406600907,4.94253655102641,5.41897199194462,TRUE,8,"weak"
"recruitment_50",0.019387103915861,0.026605055028039,0.00385909386828289,0.0196977229642463,0.0265263176522901,0.0341189027386481,FALSE,8,"weak"
"recruitment_80",0.183939720585721,0.230267068927613,0.017953408663292,0.196212645132743,0.230372050392395,0.264613314643108,FALSE,8,"weak"
"recruitment_110",1.74517147873092,2.00239017139006,0.041414371721925,1.92145685949766,2.00232562730767,2.08422645406214,FALSE,8,"weak"
"recruit_mean_50",44,43.8286740253657,0.435838855075049,42.9982961773556,43.8154971567548,44.7074782607865,TRUE,8,"weak"
"recruit_mean_80",44.6,44.5052056465195,0.262657770310207,44.0079298185037,44.4957021543271,45.0430426737803,TRUE,8,"weak"
"recruit_mean_110",45.2,45.181737267673,0.099263182725993,45.0017459546177,45.1779442858992,45.3798069150319,TRUE,8,"weak"
"recruit_sd.log_recruit_sd",3.5,3.76469042681714,0.0426275711022266,3.68252820437397,3.76241402811658,3.8447261373054,FALSE,8,"weak"
"lambda",1.0294523184952,1.01729341739208,0.00253278327048288,1.01227978577253,1.01728895925904,1.02232647750383,FALSE,8,"weak"
"survival_50",0.354343693774205,0.356680769371952,0.00527280114239271,0.346992797287613,0.356782173023019,0.366618030044322,TRUE,12,"weak"
"survival_80",0.589040434058665,0.588926859729249,0.00433166464186467,0.580962823489258,0.588786412674944,0.597391687676311,TRUE,12,"weak"
"survival_110",0.789181706522253,0.787319296593772,0.0038509927940159,0.780360901014637,0.787139055693526,0.79546794892871,TRUE,12,"weak"
"growth_increment_50",12,11.5466079886683,0.208852799852951,11.1538680041072,11.5447286518237,11.9635054734163,FALSE,12,"weak"
"growth_increment_80",8.4,8.05378751278341,0.146565487641384,7.77180762640808,8.05524249926414,8.3380013042837,FALSE,12,"weak"
"growth_increment_110",4.8,4.56096703689845,0.108449678862686,4.3391937873393,4.56323522137584,4.76522479651839,FALSE,12,"weak"
"growth_sd.log_growth_sd",4.5,4.82600431252861,0.176364118855066,4.47780052038891,4.82731470771385,5.17018112069534,TRUE,12,"weak"
"recruitment_50",0.019387103915861,0.027606263268489,0.00315078373219674,0.0216972955858774,0.0274505536383618,0.0338135061279574,FALSE,12,"weak"
"recruitment_80",0.183939720585721,0.233610063896957,0.0147665918994127,0.203834555283617,0.233278299898308,0.261419336999489,FALSE,12,"weak"
"recruitment_110",1.74517147873092,1.98215807603777,0.0377061940240834,1.90858511574225,1.98210946382238,2.05840950173449,FALSE,12,"weak"
"recruit_mean_50",44,44.0924403628628,0.314622640069887,43.4830575497628,44.0919658707427,44.7051100517153,TRUE,12,"weak"
"recruit_mean_80",44.6,44.6631546179682,0.198199641889421,44.287572777226,44.6652147792122,45.0602134240252,TRUE,12,"weak"
"recruit_mean_110",45.2,45.2338688730738,0.086811711198356,45.065492349614,45.2359896931682,45.4104476962457,TRUE,12,"weak"
"recruit_sd.log_recruit_sd",3.5,3.71816799340613,0.0300397353221611,3.66087617729375,3.71713785994591,3.77678159017188,FALSE,12,"weak"
"lambda",1.0294523184952,1.02159395530501,0.00136723120576333,1.01877257710142,1.02164256583704,1.02425570857279,FALSE,12,"weak"
"survival_50",0.354343693774205,0.346368527419606,0.0125277942651621,0.323114871630231,0.345304511120877,0.371660417755437,TRUE,2,"informative"
