"parameter","truth","prior_mean","prior_sd","posterior_mean","posterior_sd","q025","median","q975","covers_truth","contraction","standardized_bias","rhat","ess","design","process_model"
"growth_increment_80",8.4,8,6,8.28782470798783,0.137196280048048,8.00782782278613,8.28949168566267,8.54981229084928,TRUE,0.977133953325325,-0.817626337775956,1.02819923146885,109.245936501197,"one_by_twelve","gamma_poisson"
"growth_slope_20",-2.4,-2,3,-2.36523945769649,0.0527905667702374,-2.46151877403409,-2.36537243182572,-2.25527917867698,TRUE,0.982403144409921,0.658461244691626,1.02090127029462,128.155402473811,"one_by_twelve","gamma_poisson"
"log_growth_sd",1.50407739677627,1.6094379124341,0.7,1.4153545521493,0.0494813949970917,1.3131059821352,1.41532033514815,1.50946756350935,TRUE,0.929312292861297,-1.79305463461961,1.02279531779913,176.265439676203,"one_by_twelve","gamma_poisson"
"log_recruitment_at_80",-1.69314718055995,-1.6094379124341,1.5,-1.95249421648663,0.0875743565924164,-2.12711824954096,-1.94966713226311,-1.78611935547166,FALSE,0.941617095605056,-2.96144951579522,1.01205358657405,383.718954527161,"one_by_twelve","gamma_poisson"
"recruitment_slope_20",1.5,1,1,1.60314754429888,0.0423655387934699,1.52154178163633,1.60402816675961,1.68794732166063,FALSE,0.95763446120653,2.43470394184577,1.02050060535636,353.888285961948,"one_by_twelve","gamma_poisson"
"recruit_mean_80",44.6,45,10,44.4335877946096,0.285025491819868,43.8778983013814,44.4434741930975,44.9804382544792,TRUE,0.971497450818013,-0.583850252578586,1.00927873407222,298.948879592529,"one_by_twelve","gamma_poisson"
"recruit_mean_slope_20",0.4,0,2,0.423243458415183,0.107397887715648,0.222267619425991,0.422153308168665,0.637975732171306,TRUE,0.946301056142176,0.216423794821025,1.01005278177739,308.853854483479,"one_by_twelve","gamma_poisson"
"log_recruit_sd",1.25276296849537,1.38629436111989,0.7,1.23967533376969,0.0127175205810969,1.21504952569613,1.23963443217562,1.26440588557489,TRUE,0.981832113455576,-1.0291026967261,1.00727089096199,299.926846129115,"one_by_twelve","gamma_poisson"
"log_process_precision",NA,3.91202300542815,2,5.82470481333822,0.334433178781072,5.19256035253174,5.80140498151804,6.51749154373752,NA,0.832783410609464,NA,1.00747215413032,387.638831438849,"one_by_twelve","gamma_poisson"
"survival_at_80",0.36,0.405465108108164,1.5,0.357166029917569,0.0518710592616254,0.284662936132649,0.346351272918597,0.492755353710314,TRUE,0.965419293825583,-0.054634898973947,2.09661634596118,17.7782013390437,"one_by_twelve","correlated_log_gaussian"
"survival_slope_20",0.64,0.5,1,0.631751781248441,0.0267998921676691,0.588247977912715,0.627817313245484,0.700105741622328,TRUE,0.973200107832331,-0.307770594745521,1.9818117322133,19.8987278196774,"one_by_twelve","correlated_log_gaussian"
"growth_increment_80",8.4,8,6,8.46236040295116,0.144410105276766,8.12945284264421,8.47629240864103,8.71878810541381,TRUE,0.975931649120539,0.431828526346153,1.0729263429573,57.5794660933471,"one_by_twelve","correlated_log_gaussian"
"growth_slope_20",-2.4,-2,3,-2.39495665531676,0.0478757813656445,-2.49428116148633,-2.3945351387842,-2.29854218070205,TRUE,0.984041406211452,0.105342294984714,1.0630531530901,85.1754773745445,"one_by_twelve","correlated_log_gaussian"
"log_growth_sd",1.50407739677627,1.6094379124341,0.7,1.3780313146355,0.0595586160984498,1.2539093740079,1.38220031113956,1.48679580554154,FALSE,0.9149162627165,-2.11633665114756,1.04761347094431,86.3543804190536,"one_by_twelve","correlated_log_gaussian"
"log_recruitment_at_80",-1.69314718055995,-1.6094379124341,1.5,-1.83537807768593,0.121243704653084,-2.1114055040184,-1.82958018176326,-1.61088455176353,TRUE,0.91917086356461,-1.17309923457839,1.06017866147414,39.3508617644628,"one_by_twelve","correlated_log_gaussian"
"recruitment_slope_20",1.5,1,1,1.56804121010503,0.0572523683310869,1.46444626686526,1.56461215757643,1.69752842762798,TRUE,0.942747631668913,1.18844358912018,1.05628264161141,41.8038225944918,"one_by_twelve","correlated_log_gaussian"
"recruit_mean_80",44.6,45,10,44.5121477926722,0.229783220640835,44.045106458765,44.5150110689001,44.9549226571702,TRUE,0.977021677935917,-0.382326468759455,1.01281824394393,304.88448979047,"one_by_twelve","correlated_log_gaussian"
"recruit_mean_slope_20",0.4,0,2,0.420511668428635,0.0872847946457417,0.250781697970522,0.421831473697349,0.592931340697796,TRUE,0.956357602677129,0.234997040571434,1.01117801264008,319.362481791327,"one_by_twelve","correlated_log_gaussian"
"log_recruit_sd",1.25276296849537,1.38629436111989,0.7,1.24482643886298,0.00995515892258385,1.22553464745408,1.24477554812069,1.26448291365483,TRUE,0.985778344396309,-0.79722781867186,1.01837075550293,190.417127190868,"one_by_twelve","correlated_log_gaussian"
"log_process_sd",NA,-2.30258509299405,1,-3.76411903199519,0.296359798277256,-4.30165512726485,-3.79215560695914,-3.17326295459563,NA,0.703640201722744,NA,1.53980201118374,24.624058082001,"one_by_twelve","correlated_log_gaussian"
"survival_at_80",0.36,0.405465108108164,1.5,0.346595501805557,0.0194539064379318,0.308300715706832,0.346320158134922,0.384795936242875,TRUE,0.987030729041379,-0.689038894949481,1.00312693674359,337.007593109296,"three_by_four","poisson"
"survival_slope_20",0.64,0.5,1,0.635609449801992,0.0149845868475207,0.605961017979056,0.635501700646352,0.66509585732503,TRUE,0.985015413152479,-0.293004421322045,1.00958940726519,364.586092115891,"three_by_four","poisson"
"growth_increment_80",8.4,8,6,8.83810772278908,0.157007236788584,8.517199711997,8.83919967374377,9.13100691762121,FALSE,0.973832127201903,2.79036642991817,1.01064570747888,439.954237898301,"three_by_four","poisson"
"growth_slope_20",-2.4,-2,3,-2.34732420961996,0.0628732016825472,-2.46514053640721,-2.34756277631356,-2.21607893206232,TRUE,0.979042266105818,0.837809893092529,1.00947666356426,387.302416039411,"three_by_four","poisson"
"log_growth_sd",1.50407739677627,1.6094379124341,0.7,1.38866821568597,0.0546445458632629,1.28381538552247,1.38886222337968,1.4955466377996,FALSE,0.921936363052482,-2.11199817414707,1.01254047389262,356.255742453626,"three_by_four","poisson"
"log_recruitment_at_80",-1.69314718055995,-1.6094379124341,1.5,-1.56414220528395,0.0768692343195646,-1.7167076407611,-1.55824106856475,-1.41630662742067,TRUE,0.948753843786957,1.67823936868793,1.02009749280503,359.727615717806,"three_by_four","poisson"
"recruitment_slope_20",1.5,1,1,1.45845868531993,0.0465897039597463,1.36964081175901,1.45598325214695,1.54919303925943,TRUE,0.953410296040254,-0.891641524830487,1.02011996925816,362.571093634581,"three_by_four","poisson"
"recruit_mean_80",44.6,45,10,44.7201287230351,0.257011330939062,44.2091816986986,44.7258980974289,45.232594900775,TRUE,0.974298866906094,0.467406330281985,1.00943200470711,371.425877291108,"three_by_four","poisson"
"recruit_mean_slope_20",0.4,0,2,0.370814773174112,0.131973628035952,0.102287147075036,0.367915906201318,0.634030967201297,TRUE,0.934013185982024,-0.221144385133808,1.01121478656865,385.326840083924,"three_by_four","poisson"
"log_recruit_sd",1.25276296849537,1.38629436111989,0.7,1.24833096272733,0.0110884520088195,1.2262697531144,1.24794844148091,1.27013782011946,TRUE,0.984159354273115,-0.399695626090241,1.01369295963744,333.85236951735,"three_by_four","poisson"
"survival_at_80",0.36,0.405465108108164,1.5,0.344501473963326,0.0199955973889967,0.306073030200215,0.345207818954177,0.384148964761849,TRUE,0.986669601740669,-0.775096924346071,1.01441949753086,293.143008653896,"three_by_four","gamma_poisson"
"survival_slope_20",0.64,0.5,1,0.633499366979084,0.0152231256572187,0.603127922510644,0.633228943246228,0.664010159753178,TRUE,0.984776874342781,-0.427023540847765,1.00661244601763,337.099717453096,"three_by_four","gamma_poisson"
"growth_increment_80",8.4,8,6,8.84060553547234,0.160981943607103,8.51470283740149,8.84310138763126,9.14530366873205,FALSE,0.973169676065483,2.73698730180379,1.01324580291372,276.708075801774,"three_by_four","gamma_poisson"
"growth_slope_20",-2.4,-2,3,-2.35138585325185,0.0619965488904545,-2.47104896638563,-2.35158084627458,-2.22428648291013,TRUE,0.979334483703182,0.784142788884118,1.00429615392736,323.555596392603,"three_by_four","gamma_poisson"
"log_growth_sd",1.50407739677627,1.6094379124341,0.7,1.39607896480628,0.0552301768536,1.28144940516589,1.3995454870607,1.50252407008612,FALSE,0.921099747352,-1.95542433724707,1.00619180526811,344.267969383914,"three_by_four","gamma_poisson"
"log_recruitment_at_80",-1.69314718055995,-1.6094379124341,1.5,-1.56995486561168,0.0863656305575306,-1.75509891212523,-1.56794335212261,-1.41080715820212,TRUE,0.942422912961646,1.42640439435229,1.01539284244856,295.337262291741,"three_by_four","gamma_poisson"
"recruitment_slope_20",1.5,1,1,1.46192617796047,0.0510079347434964,1.36635749348929,1.46203172561831,1.56715982571314,TRUE,0.948992065256504,-0.746429398308162,1.01396318648142,305.723112501249,"three_by_four","gamma_poisson"
"recruit_mean_80",44.6,45,10,44.7528029547991,0.272329454232284,44.2153269316108,44.7611314817015,45.2890360974933,TRUE,0.972767054576772,0.561095953538692,1.00574503859639,347.711925456004,"three_by_four","gamma_poisson"
"recruit_mean_slope_20",0.4,0,2,0.354959258133326,0.139418868418188,0.0809040742609037,0.353423391233391,0.627513955553895,TRUE,0.930290565790906,-0.3230605898448,1.00600430035965,352.95507798859,"three_by_four","gamma_poisson"
"log_recruit_sd",1.25276296849537,1.38629436111989,0.7,1.24941929797383,0.0110507687078757,1.22740659184443,1.25004306560415,1.27018613996121,TRUE,0.984213187560178,-0.302573568403,1.01382581349623,447.671317214968,"three_by_four","gamma_poisson"
"log_process_precision",NA,3.91202300542815,2,8.08167689018192,0.917193047491213,6.64255847863496,7.95279230081963,10.2352439282986,NA,0.541403476254393,NA,1.0174960963743,299.257972012571,"three_by_four","gamma_poisson"
"survival_at_80",0.36,0.405465108108164,1.5,0.345773757831609,0.0204508837671978,0.306021239534729,0.345817008634316,0.38587212319311,TRUE,0.986366077488535,-0.695629701402398,1.01081386590456,362.083330513405,"three_by_four","correlated_log_gaussian"
"survival_slope_20",0.64,0.5,1,0.635646109611413,0.0161224630309538,0.604516064494616,0.635420874600121,0.667003081371095,TRUE,0.983877536969046,-0.270051193805067,1.01930816578288,422.210953137696,"three_by_four","correlated_log_gaussian"
"growth_increment_80",8.4,8,6,8.83677248883263,0.148866386666031,8.5428701212154,8.83911783790307,9.12598612099495,FALSE,0.975188935555662,2.9339899934059,1.0060489760099,446.244914778045,"three_by_four","correlated_log_gaussian"
"growth_slope_20",-2.4,-2,3,-2.35886101306452,0.0623552536242939,-2.48073398070904,-2.35839235563834,-2.24135767997258,TRUE,0.979214915458569,0.659751737734184,1.0080465262496,428.604348264923,"three_by_four","correlated_log_gaussian"
"log_growth_sd",1.50407739677627,1.6094379124341,0.7,1.39258685206745,0.0532935249159606,1.28743769319491,1.39310845214426,1.49525342577313,FALSE,0.923866392977199,-2.09200920533275,1.01316504988522,414.4375782201,"three_by_four","correlated_log_gaussian"
"log_recruitment_at_80",-1.69314718055995,-1.6094379124341,1.5,-1.57555299666933,0.0868760655819635,-1.75893165535124,-1.57122373317074,-1.41703348831694,TRUE,0.942082622945358,1.3535855140639,1.00279632857288,382.416069015035,"three_by_four","correlated_log_gaussian"
"recruitment_slope_20",1.5,1,1,1.46647777577406,0.0510986126711858,1.37081972601414,1.46428583550075,1.57026489096162,TRUE,0.948901387328814,-0.656030026522388,1.00349574503783,391.994702567918,"three_by_four","correlated_log_gaussian"
"recruit_mean_80",44.6,45,10,44.7371789355433,0.260852679245354,44.2091716187929,44.7423682868266,45.2640472156007,TRUE,0.973914732075465,0.525886626659064,1.00615984931387,397.889308293781,"three_by_four","correlated_log_gaussian"
"recruit_mean_slope_20",0.4,0,2,0.363689497353603,0.132444083791172,0.0999841140809093,0.361355199350925,0.630411762750863,TRUE,0.933777958104414,-0.274157226257448,1.007476268809,350.73829410925,"three_by_four","correlated_log_gaussian"
"log_recruit_sd",1.25276296849537,1.38629436111989,0.7,1.24911935490413,0.0113853772564798,1.22508258393815,1.24912116167685,1.27156199867331,TRUE,0.983735175347886,-0.32002572327246,1.0011572010783,453.903294879667,"three_by_four","correlated_log_gaussian"
"log_process_sd",NA,-2.30258509299405,1,-4.81057809684316,0.401222384368902,-5.73172275024978,-4.77765944008223,-4.10991118690851,NA,0.598777615631098,NA,1.0017530712528,669.36566291251,"three_by_four","correlated_log_gaussian"
