"truth_name","borrowing","bias_multiplier","replicate","curve_rmse","coverage_at_80","width_at_80","robust_weight"
"flatter_fecundity","robust",1.5,2,0.0472629643807411,TRUE,0.0891418712616247,2.510505664526e-10
"flatter_fecundity","robust",1.5,3,0.116233368556336,TRUE,0.0906831251168496,2.85347552727121e-09
"flatter_fecundity","robust",1.5,4,0.0557980480199215,TRUE,0.0710107381375804,7.33313805171236e-11
"flatter_fecundity","robust",1.5,5,0.0917424620038707,TRUE,0.0789589384702407,2.08813304117277e-08
"flatter_fecundity","robust",1.5,6,0.0445599229933514,TRUE,0.0711786094374546,1.67898640517298e-11
"flatter_fecundity","robust",1.5,7,0.057452231250931,TRUE,0.0677766641842047,3.46801934117271e-11
"flatter_fecundity","robust",1.5,8,0.0325496384861781,TRUE,0.120682144198435,1.24661372683308e-08
"flatter_fecundity","robust",1.5,9,0.0190091384659487,TRUE,0.0992918609239076,1.85778638221836e-10
"low_survival","full",0,1,0.103466732297426,TRUE,0.0724817113895008,NA
"low_survival","full",0,10,0.108203645822602,TRUE,0.0714108480934627,NA
"low_survival","full",0,2,0.0807066897620844,FALSE,0.0956482361913109,NA
"low_survival","full",0,3,0.121533943693162,TRUE,0.0689194621325123,NA
"low_survival","full",0,4,0.0125261671574352,TRUE,0.0668498796865468,NA
"low_survival","full",0,5,0.0182033404883381,TRUE,0.0687197783438622,NA
"low_survival","full",0,6,0.0170773311323812,TRUE,0.0708376722843277,NA
"low_survival","full",0,7,0.145453896096442,TRUE,0.0747119527784533,NA
"low_survival","full",0,8,0.0821146329011613,TRUE,0.0701906227896266,NA
"low_survival","full",0,9,0.0690243134717102,TRUE,0.0708420003672542,NA
"low_survival","full",0.25,1,0.0261388042623908,FALSE,0.0765938246204758,NA
"low_survival","full",0.25,10,0.0325072356995746,FALSE,0.0737684888672454,NA
"low_survival","full",0.25,2,0.0899395920042458,FALSE,0.0965810305294486,NA
"low_survival","full",0.25,3,0.144861496299444,FALSE,0.0769819550710962,NA
"low_survival","full",0.25,4,0.0289337343170616,TRUE,0.0678579540226785,NA
"low_survival","full",0.25,5,0.040992627873372,TRUE,0.0624393693608436,NA
"low_survival","full",0.25,6,0.127923013071456,FALSE,0.0791943917191496,NA
"low_survival","full",0.25,7,0.124845966492953,FALSE,0.0745472473732204,NA
"low_survival","full",0.25,8,0.0329099598679087,FALSE,0.0777969407366068,NA
"low_survival","full",0.25,9,0.0736631446799782,TRUE,0.076509416861819,NA
"low_survival","full",0.5,1,0.0916574972905274,FALSE,0.077990732468587,NA
"low_survival","full",0.5,10,0.0479608442286553,FALSE,0.0770396790471277,NA
"low_survival","full",0.5,2,0.0917434594964022,FALSE,0.111007079203285,NA
"low_survival","full",0.5,3,0.075567677064087,FALSE,0.078017427374118,NA
"low_survival","full",0.5,4,0.0276305979331921,TRUE,0.0632061059560388,NA
"low_survival","full",0.5,5,0.0300632923471978,FALSE,0.071898255091638,NA
"low_survival","full",0.5,6,0.0781530691359499,FALSE,0.0790483042324657,NA
"low_survival","full",0.5,7,0.167410016694075,FALSE,0.0731469988596367,NA
"low_survival","full",0.5,8,0.0578982776113386,TRUE,0.0664985075510447,NA
"low_survival","full",0.5,9,0.114471774815785,FALSE,0.0861185101132682,NA
"low_survival","full",0.75,1,0.0527437403872187,FALSE,0.0779772970623799,NA
"low_survival","full",0.75,10,0.0647664488952625,FALSE,0.0759091307949678,NA
"low_survival","full",0.75,2,0.0959960296535054,FALSE,0.109206715845506,NA
"low_survival","full",0.75,3,0.114722151491212,FALSE,0.079122492009863,NA
"low_survival","full",0.75,4,0.0783178453678941,FALSE,0.0821799653813979,NA
"low_survival","full",0.75,5,0.0820456912861138,FALSE,0.0759898163116896,NA
"low_survival","full",0.75,6,0.0891429982740855,FALSE,0.0792409840127826,NA
"low_survival","full",0.75,7,0.122609876685368,FALSE,0.0801981872579818,NA
"low_survival","full",0.75,8,0.058632200558097,FALSE,0.0813053709729964,NA
"low_survival","full",0.75,9,0.0953559934227834,FALSE,0.0876929917546082,NA
"low_survival","full",1,1,0.103941115643386,FALSE,0.0833455787449157,NA
"low_survival","full",1,10,0.0848696944788698,FALSE,0.0805143942239472,NA
"low_survival","full",1,2,0.106120943719053,FALSE,0.111511130068555,NA
"low_survival","full",1,3,0.104055797454477,FALSE,0.0853772489064351,NA
"low_survival","full",1,4,0.135847204566977,FALSE,0.0838293198628305,NA
"low_survival","full",1,5,0.116936216915132,FALSE,0.0862581238972344,NA
"low_survival","full",1,6,0.137746204327357,FALSE,0.0893648808692784,NA
"low_survival","full",1,7,0.0883685373826617,FALSE,0.0838321286311542,NA
"low_survival","full",1,8,0.123045531841687,FALSE,0.0833958213620115,NA
"low_survival","full",1,9,0.104082550946986,FALSE,0.100090533037697,NA
"low_survival","full",1.5,1,0.105831868045818,FALSE,0.0848557699611316,NA
"low_survival","full",1.5,10,0.125706500334294,FALSE,0.0857720993302219,NA
"low_survival","full",1.5,2,0.174345713072825,FALSE,0.121383043590118,NA
"low_survival","full",1.5,3,0.15160122063497,FALSE,0.0992087473633654,NA
"low_survival","full",1.5,4,0.115574944509659,FALSE,0.0905789814182953,NA
"low_survival","full",1.5,5,0.155125157477311,FALSE,0.0889032983639241,NA
"low_survival","full",1.5,6,0.250339387842428,FALSE,0.0912675302859078,NA
"low_survival","full",1.5,7,0.139042623218126,FALSE,0.0807995887608877,NA
"low_survival","full",1.5,8,0.130067414379862,FALSE,0.0958240115415825,NA
"low_survival","full",1.5,9,0.148827142936231,FALSE,0.105192932546572,NA
"low_survival","none",NA,1,0.0734635026195205,FALSE,0.220644982837736,NA
"low_survival","none",NA,10,0.191303089719572,FALSE,0.195581106131594,NA
"low_survival","none",NA,2,0.986467020453067,TRUE,0.310963309320314,NA
"low_survival","none",NA,3,0.192040789681956,TRUE,0.248772806392865,NA
"low_survival","none",NA,4,0.136486281055664,TRUE,0.164348596854618,NA
"low_survival","none",NA,5,0.016267102245211,TRUE,0.216973561990339,NA
"low_survival","none",NA,6,0.157628991957062,FALSE,0.239787251790327,NA
"low_survival","none",NA,7,0.207083948515975,FALSE,0.173032279590495,NA
"low_survival","none",NA,8,0.146420226746819,TRUE,0.298371413615531,NA
"low_survival","none",NA,9,0.491710973698148,FALSE,0.149057559929262,NA
"low_survival","robust",0,1,0.0683887270704198,FALSE,0.229401946046761,0.033851215897123
"low_survival","robust",0,10,0.116597397450589,TRUE,0.132612160556768,0.93639137614425
