"scenario","method","group","n","coverage","rmse","mean_posterior_sd","mean_contraction"
"dense_profiles","maturity_fixed_recruitment_slope","recruitment",20,0.65,0.0821426016943684,0.0168635345318346,0.977515287290887
"rich_design","maturity_fixed_recruitment_slope","recruitment",20,0.8,0.0886513436236268,0.0180740402522109,0.975901279663719
"standard","maturity_fixed_recruitment_slope","recruitment",20,0.75,0.151924058154834,0.0423521123924381,0.943530516810082
"dense_profiles","maturity_shape_informed","recruitment",20,0.7,0.261768497759866,0.140295491416637,0.698318329137668
"rich_design","maturity_shape_informed","recruitment",20,0.5,0.273289266848336,0.108381953396025,0.776014630008814
"standard","maturity_shape_informed","recruitment",20,0.45,0.423843278067069,0.181759508683472,0.607165034866871
"dense_profiles","maturity_weak","recruitment",20,0.65,0.347854898051725,0.151860101415719,0.88126650837461
"rich_design","maturity_weak","recruitment",20,0.45,0.302332935512893,0.11051952060099,0.914331289638846
"standard","maturity_weak","recruitment",20,0.25,0.750464470285114,0.222799575248288,0.823333285673504
"dense_profiles","ungated_weak","recruitment",20,0.5,0.321387027667172,0.134995324646884,0.893724000057825
"rich_design","ungated_weak","recruitment",20,0.3,0.389339772019612,0.103759350460572,0.918732671626786
"standard","ungated_weak","recruitment",20,0.25,0.895097064562948,0.231845012308252,0.810678151706565
"dense_profiles","maturity_fixed_recruitment_slope","survival",20,1,0.0558690033709247,0.0747377487178687,0.939791669367456
"rich_design","maturity_fixed_recruitment_slope","survival",20,0.9,0.107151952330212,0.0697300528415899,0.944084089019727
"standard","maturity_fixed_recruitment_slope","survival",20,0.85,0.171535852691475,0.153473792076714,0.876010289495277
"dense_profiles","maturity_shape_informed","survival",20,1,0.0559726745665945,0.074818656995389,0.939736654389972
"rich_design","maturity_shape_informed","survival",20,0.9,0.101093010788472,0.0695785914650546,0.944161782221409
"standard","maturity_shape_informed","survival",20,0.85,0.14974528849534,0.148437667550201,0.88021447355165
"dense_profiles","maturity_weak","survival",20,1,0.0534560046983747,0.0738588610133307,0.940524035248648
"rich_design","maturity_weak","survival",20,0.9,0.101123182219212,0.06914822750782,0.944663194769511
"standard","maturity_weak","survival",20,0.85,0.149738788047151,0.145835309795553,0.882421974963668
"dense_profiles","ungated_weak","survival",20,1,0.0532470410732713,0.0760533321855622,0.938730431554476
"rich_design","ungated_weak","survival",20,0.9,0.0975492772383809,0.0698503097527227,0.944015710629199
"standard","ungated_weak","survival",20,0.85,0.142950011130554,0.146184698060857,0.882188813232618
