"scenario","replicate","method","success","error","positive_definite","condition_number"
"dense_profiles",9,"ungated_weak",TRUE,"",TRUE,1693.43978878822
"dense_profiles",9,"maturity_weak",TRUE,"",TRUE,3263.44275730327
"dense_profiles",9,"maturity_shape_informed",TRUE,"",TRUE,3815.67939232158
"dense_profiles",9,"maturity_fixed_recruitment_slope",TRUE,"",TRUE,1757.17599572818
"rich_design",9,"ungated_weak",TRUE,"",TRUE,1669.00181019966
"rich_design",9,"maturity_weak",TRUE,"",TRUE,2126.83067980326
"rich_design",9,"maturity_shape_informed",TRUE,"",TRUE,2147.6719338047
"rich_design",9,"maturity_fixed_recruitment_slope",TRUE,"",TRUE,756.619474223089
"standard",10,"ungated_weak",TRUE,"",TRUE,1647.80773823404
"standard",10,"maturity_weak",TRUE,"",TRUE,1984.2757576474
"standard",10,"maturity_shape_informed",TRUE,"",TRUE,2033.87375522001
"standard",10,"maturity_fixed_recruitment_slope",TRUE,"",TRUE,463.18022721606
"dense_profiles",10,"ungated_weak",TRUE,"",TRUE,3950.77093725879
"dense_profiles",10,"maturity_weak",TRUE,"",TRUE,5422.68501690447
"dense_profiles",10,"maturity_shape_informed",TRUE,"",TRUE,5392.6219991462
"dense_profiles",10,"maturity_fixed_recruitment_slope",TRUE,"",TRUE,1748.59581575927
"rich_design",10,"ungated_weak",TRUE,"",TRUE,1738.84360686048
"rich_design",10,"maturity_weak",TRUE,"",TRUE,2767.23251814764
"rich_design",10,"maturity_shape_informed",TRUE,"",TRUE,2861.7628103477
"rich_design",10,"maturity_fixed_recruitment_slope",TRUE,"",TRUE,1214.49496762955
