"scenario","method","quantity","n","coverage","rmse","mean_posterior_sd"
"standard","ungated_weak","recruitment_110",10,0.5,0.913609650692508,0.210670293028771
"dense_profiles","maturity_fixed_recruitment_slope","recruitment_50",10,0.3,1.93516439004295e-05,5.57612371158409e-06
"rich_design","maturity_fixed_recruitment_slope","recruitment_50",10,0.6,1.98817605965039e-05,6.04438970485121e-06
"standard","maturity_fixed_recruitment_slope","recruitment_50",10,0.5,3.29506735921036e-05,1.31640956514029e-05
"dense_profiles","maturity_shape_informed","recruitment_50",10,0.7,0.000156146328406306,8.65204032329966e-05
"rich_design","maturity_shape_informed","recruitment_50",10,0.5,0.000172387344027667,7.82901686722092e-05
"standard","maturity_shape_informed","recruitment_50",10,0.4,0.00040047059303224,0.000234043693016604
"dense_profiles","maturity_weak","recruitment_50",10,0.6,0.000252214580267037,0.000117885184947022
"rich_design","maturity_weak","recruitment_50",10,0.5,0.000200030392893934,8.53003918281211e-05
"standard","maturity_weak","recruitment_50",10,0.2,0.00157927723254363,0.000785232686893129
"dense_profiles","ungated_weak","recruitment_50",10,0,0.0357915082570734,0.0101151118629187
"rich_design","ungated_weak","recruitment_50",10,0,0.0440262423697582,0.0100841474707052
"standard","ungated_weak","recruitment_50",10,0,0.229758266891906,0.0616742924449279
"dense_profiles","maturity_fixed_recruitment_slope","recruitment_80",10,0.3,0.0200549449436559,0.00577877799995852
"rich_design","maturity_fixed_recruitment_slope","recruitment_80",10,0.6,0.0206043277872111,0.006264062287034
"standard","maturity_fixed_recruitment_slope","recruitment_80",10,0.5,0.0341482071572922,0.0136425212700429
"dense_profiles","maturity_shape_informed","recruitment_80",10,0.7,0.0616330833991808,0.0384758256826988
"rich_design","maturity_shape_informed","recruitment_80",10,0.5,0.0804141173634184,0.0357126693573027
"standard","maturity_shape_informed","recruitment_80",10,0.6,0.135600540106814,0.0736248453210673
"dense_profiles","maturity_weak","recruitment_80",10,0.7,0.0896061178303265,0.0451923391970832
"rich_design","maturity_weak","recruitment_80",10,0.5,0.0908706779695346,0.0374947367779112
"standard","maturity_weak","recruitment_80",10,0.2,0.327559653880565,0.129413110487105
"dense_profiles","ungated_weak","recruitment_80",10,0.4,0.0924924426378615,0.0415028756724583
"rich_design","ungated_weak","recruitment_80",10,0.2,0.13459773661309,0.0405374112864698
"standard","ungated_weak","recruitment_80",10,0.1,0.243369797825561,0.0901104568445898
"dense_profiles","maturity_fixed_recruitment_slope","survival_110",10,1,0.0152497600373265,0.0265453897867727
"rich_design","maturity_fixed_recruitment_slope","survival_110",10,1,0.0142051015173213,0.0249187005440976
"standard","maturity_fixed_recruitment_slope","survival_110",10,1,0.0475922441822936,0.0602917117952848
"dense_profiles","maturity_shape_informed","survival_110",10,1,0.0153479587060453,0.0267960086220097
"rich_design","maturity_shape_informed","survival_110",10,1,0.0149046383899335,0.0249978183120791
"standard","maturity_shape_informed","survival_110",10,1,0.048478473760692,0.0591311887401937
"dense_profiles","maturity_weak","survival_110",10,1,0.0143717808277319,0.0264761312324095
"rich_design","maturity_weak","survival_110",10,1,0.0147114189435678,0.0247679398391938
"standard","maturity_weak","survival_110",10,1,0.0526963070025512,0.0580968923839168
"dense_profiles","ungated_weak","survival_110",10,1,0.0147549932299707,0.0273852138271306
"rich_design","ungated_weak","survival_110",10,1,0.0149044097740877,0.0251729924391306
"standard","ungated_weak","survival_110",10,0.9,0.0540894195341855,0.0585581169768024
"dense_profiles","maturity_fixed_recruitment_slope","survival_50",10,1,0.0190032635623659,0.0167874852043999
"rich_design","maturity_fixed_recruitment_slope","survival_50",10,0.1,0.0557498007804361,0.018446723890671
"standard","maturity_fixed_recruitment_slope","survival_50",10,0.3,0.0939195332159983,0.0398326641191848
"dense_profiles","maturity_shape_informed","survival_50",10,0.9,0.0189863951549885,0.016045888243373
"rich_design","maturity_shape_informed","survival_50",10,0.2,0.0519217369840421,0.0181220513967021
"standard","maturity_shape_informed","survival_50",10,0.5,0.0791709154822015,0.0367593406450042
"dense_profiles","maturity_weak","survival_50",10,1,0.0189293156846698,0.0161677547575134
"rich_design","maturity_weak","survival_50",10,0.2,0.0520561790848492,0.0180408382614899
"standard","maturity_weak","survival_50",10,0.5,0.0757309695019884,0.0363724536151694
"dense_profiles","ungated_weak","survival_50",10,0.9,0.0183040088137915,0.0162079018730023
"rich_design","ungated_weak","survival_50",10,0.2,0.0502557976142518,0.0176506603277311
"standard","ungated_weak","survival_50",10,0.6,0.066909792540934,0.0356649824104325
"dense_profiles","maturity_fixed_recruitment_slope","survival_80",10,1,0.0158309439158822,0.0209101029134177
"rich_design","maturity_fixed_recruitment_slope","survival_80",10,0.9,0.0300237856862761,0.0195545004174493
"standard","maturity_fixed_recruitment_slope","survival_80",10,1,0.0347231443676458,0.0415833568488301
"dense_profiles","maturity_shape_informed","survival_80",10,1,0.0158414312860249,0.0209627007264438
"rich_design","maturity_shape_informed","survival_80",10,0.9,0.0282427908056582,0.0194864558575011
"standard","maturity_shape_informed","survival_80",10,1,0.0268758868122248,0.0407549440529765
"dense_profiles","maturity_weak","survival_80",10,1,0.0150366194233375,0.0207327501122216
"rich_design","maturity_weak","survival_80",10,0.9,0.0282100930192259,0.0195851318869981
"standard","maturity_weak","survival_80",10,1,0.0258994573427396,0.0402216377177107
"dense_profiles","ungated_weak","survival_80",10,1,0.0149274436102783,0.0213141254951958
"rich_design","ungated_weak","survival_80",10,0.9,0.0269637559443577,0.0196742780801661
"standard","ungated_weak","survival_80",10,1,0.0262031841232934,0.0405607897512568
