"scenario","method","group","n","coverage","bias","rmse","mean_posterior_sd","mean_abs_standardized_bias","mean_contraction"
"dense_profiles","recursive_poisson","recruit_size",30,0.933333333333333,-0.00524693017641159,0.401817889507389,0.358141882502481,0.72739252992732,0.90697137177858
"diverse_initial","recursive_poisson","recruit_size",30,0.933333333333333,0.0450864434024635,0.508738730726286,0.383879411476334,0.810777675396023,0.899219065250236
"longer_followup","recursive_poisson","recruit_size",30,0.9,0.219365897810456,0.959549408889095,0.444446643523699,0.930431843669823,0.882606409844369
"standard","recursive_poisson","recruit_size",27,0.925925925925926,0.00926224663416153,0.596706266184809,0.51542573537651,1.08225308653078,0.852594270031557
"dense_profiles","one_step_gamma_poisson","recruitment",18,0.611111111111111,-0.0538359455312181,0.343016667962808,0.148122746273516,1.78513277312996,0.884515951670841
"diverse_initial","one_step_gamma_poisson","recruitment",20,0.6,0.0855301038968295,0.438454708320344,0.180472414597525,2.15883506354312,0.859589724103999
"longer_followup","one_step_gamma_poisson","recruitment",20,0.35,-0.403961867433976,1.16846879579422,0.241824132297443,3.70397198153052,0.80877537710833
"standard","one_step_gamma_poisson","recruitment",20,0.5,-0.244835879913172,0.913795407325463,0.296395536464029,2.62151146138852,0.762990462438696
"dense_profiles","one_step_poisson","recruitment",18,0.5,-0.0670048473674903,0.393873292699671,0.112863352216323,2.74738332987566,0.912141262394542
"diverse_initial","one_step_poisson","recruitment",20,0.6,0.0832800251831903,0.434428572325002,0.153728474278823,2.49807928505444,0.88056223321534
"longer_followup","one_step_poisson","recruitment",16,0.125,-0.08045708854048,0.889483138418299,0.14356884639647,5.837750208767,0.886101827468244
"standard","one_step_poisson","recruitment",20,0.3,-0.313994149009336,1.01532836359943,0.237489080226982,3.31369711019513,0.810700599400671
"dense_profiles","one_step_shared_gamma_poisson","recruitment",18,0.666666666666667,-0.0535613259753912,0.345424310972787,0.138658220238722,1.92840697109344,0.89206569226089
"diverse_initial","one_step_shared_gamma_poisson","recruitment",18,0.555555555555556,0.0832245291661204,0.440278404802519,0.177503447067781,2.25102084928489,0.861913001135285
"longer_followup","one_step_shared_gamma_poisson","recruitment",20,0.15,0.149871222909052,0.644499603541345,0.139275255697953,4.42609439526444,0.889385952842604
"standard","one_step_shared_gamma_poisson","recruitment",20,0.4,-0.128369517592832,0.817357859263728,0.240520304572282,2.82349585252336,0.804962021266376
"dense_profiles","recursive_gamma_poisson","recruitment",20,0.6,-0.121541639813554,0.68158470800427,0.198231829000994,2.15291153573279,0.845035897375532
"diverse_initial","recursive_gamma_poisson","recruitment",20,0.4,0.0653487658306502,0.526924991210838,0.156223946142945,4.04924714691166,0.878408339920076
"longer_followup","recursive_gamma_poisson","recruitment",20,0.65,-0.309508345461007,1.08843307622391,0.172581309582194,2.32673618802803,0.864484475029334
"standard","recursive_gamma_poisson","recruitment",20,0.3,-0.0792602248537534,0.76115173116473,0.214757634309877,3.36939318386155,0.82973656081438
"dense_profiles","recursive_poisson","recruitment",20,0.55,-0.166955869187066,0.906338636834543,0.153723712292409,3.69001514073739,0.879692409793224
"diverse_initial","recursive_poisson","recruitment",20,0.35,0.0595855699743657,0.546906252752454,0.144178340403827,4.60717981069686,0.887865664077738
"longer_followup","recursive_poisson","recruitment",20,0.5,-0.336844195181372,1.14583950752642,0.147533637396457,3.05162153163636,0.883838488819348
"standard","recursive_poisson","recruitment",18,0.222222222222222,-0.0846230651261765,0.815598123213301,0.180742319107738,4.27455047481237,0.856819161609062
"dense_profiles","one_step_gamma_poisson","survival",18,1,0.00560043294090966,0.0433381871138238,0.0757046771527082,0.486168679728648,0.93891406860455
"diverse_initial","one_step_gamma_poisson","survival",20,0.95,-0.0539898259225196,0.10272465633073,0.11412197406345,0.814472642101003,0.908657670114163
"longer_followup","one_step_gamma_poisson","survival",20,0.9,-0.0051330597409091,0.117597512508263,0.11568802467656,0.93379720652897,0.907401998841895
"standard","one_step_gamma_poisson","survival",20,0.95,0.0155285652431541,0.134334907626989,0.157961304307298,0.644576111381384,0.87256548852677
"dense_profiles","one_step_poisson","survival",18,1,0.0053962676357642,0.0457927380951719,0.0727670695844431,0.486407073435561,0.941237333987584
"diverse_initial","one_step_poisson","survival",20,0.95,-0.0559040880358957,0.104002996026154,0.109039960298771,0.875689847280657,0.912911473349235
"longer_followup","one_step_poisson","survival",16,0.6875,0.008507081593262,0.17952947294312,0.110253534850327,1.44863099049974,0.911490824459325
"standard","one_step_poisson","survival",20,0.95,0.00936479581939644,0.131209230754283,0.146937988402465,0.670984763561691,0.881748694227814
"dense_profiles","one_step_shared_gamma_poisson","survival",18,1,0.0177152773472856,0.0519287097038593,0.0873478605402771,0.512873675079013,0.930757929084399
"diverse_initial","one_step_shared_gamma_poisson","survival",18,1,-0.0472221476674433,0.100528602918099,0.135310281552679,0.702401559575296,0.893510128640061
"longer_followup","one_step_shared_gamma_poisson","survival",20,1,0.108126308519678,0.197373084652572,0.15854871018664,0.893039573963978,0.87531523538912
"standard","one_step_shared_gamma_poisson","survival",20,0.95,0.0507474753178482,0.140361033351974,0.174778090003714,0.599085486591989,0.861447218359354
"dense_profiles","recursive_gamma_poisson","survival",20,0.95,0.0126959053477123,0.0462258667479644,0.0458486866034895,0.87696222910223,0.962736947039146
