"scenario_id","design","initial_n","profile_detection","parameter","posterior_mean_mcmc","posterior_mean_laplace","posterior_sd_mcmc","posterior_sd_laplace","mean_difference_in_mcmc_sd","sd_ratio_laplace_to_mcmc","coverage_mcmc","coverage_laplace","max_rhat","min_ess"
3,"six_by_two",500,0.25,"recruitment_slope_20",0.753753985535716,0.815175053684338,0.180217868156084,0.154719110143565,0.340815640408228,0.858511487937282,FALSE,FALSE,1.06259775203341,66.2522541250974
3,"six_by_two",500,0.25,"survival_at_80",0.535036898338993,0.474546423074332,0.170397028453123,0.167283141959835,-0.354997242697238,0.981725699552649,TRUE,TRUE,1.06259775203341,66.2522541250974
3,"six_by_two",500,0.25,"survival_slope_20",0.674454943741839,0.64047306272302,0.123666101580759,0.121350381771668,-0.274787355503619,0.981274417326251,TRUE,TRUE,1.06259775203341,66.2522541250974
10,"one_by_twelve",2500,1,"growth_increment_80",8.39024557874232,8.3873564509916,0.112336789967109,0.109956218435881,-0.0257184467489436,0.978808620649337,TRUE,TRUE,1.0317630943972,289.738285917589
10,"one_by_twelve",2500,1,"growth_slope_20",-2.35685247946646,-2.35738352918969,0.0420708905239631,0.0405232966229899,-0.0126227354973416,0.963214615100869,TRUE,TRUE,1.0317630943972,289.738285917589
10,"one_by_twelve",2500,1,"log_growth_sd",1.3792707460845,1.38390370967973,0.037667320696223,0.0383707438161475,0.12299689783093,1.01867462582745,FALSE,FALSE,1.0317630943972,289.738285917589
10,"one_by_twelve",2500,1,"log_recruit_sd",1.25350470864412,1.25275535602035,0.00878295543929852,0.00872534556146151,-0.085318959995029,0.99344071841931,TRUE,TRUE,1.0317630943972,289.738285917589
10,"one_by_twelve",2500,1,"log_recruitment_at_80",-1.55476946033759,-1.55285804885573,0.0567420193059905,0.0592851362619657,0.0336859968191883,1.0448189364263,FALSE,FALSE,1.0317630943972,289.738285917589
10,"one_by_twelve",2500,1,"recruit_mean_80",44.9176698611806,44.8909033255257,0.196834816486101,0.189257174733225,-0.135984761907368,0.961502533504226,TRUE,TRUE,1.0317630943972,289.738285917589
10,"one_by_twelve",2500,1,"recruit_mean_slope_20",0.281041419949969,0.290426632212946,0.0775843413410637,0.0756903996550775,0.120967866720936,0.975588609076922,TRUE,TRUE,1.0317630943972,289.738285917589
10,"one_by_twelve",2500,1,"recruitment_slope_20",1.44826731339354,1.44728766800642,0.0299725062824858,0.0319516403177424,-0.0326848004596885,1.06603164969267,TRUE,TRUE,1.0317630943972,289.738285917589
