"scenario_id","design","populations","transitions","initial_n","profile_detection","initial_profile","replicate","process_model","failed","error","positive_definite","condition_number","quantity","truth","posterior_mean","posterior_sd","q025","median","q975","covers_truth","standardized_bias"
107,"three_by_four",3,4,2500,1,"baseline",5,"gamma_poisson",FALSE,NA,TRUE,21525.0970256521,"survival_slope_20",0.64,0.630157331830224,0.0147289322808813,0.602995100328276,0.629637994291654,0.66109063342193,TRUE,-0.668254017472267
107,"three_by_four",3,4,2500,1,"baseline",5,"gamma_poisson",FALSE,NA,TRUE,21525.0970256521,"growth_increment_80",8.4,8.47069705155308,0.173254852459808,8.14554890768656,8.47674631370037,8.81759705836535,TRUE,0.408052360723836
107,"three_by_four",3,4,2500,1,"baseline",5,"gamma_poisson",FALSE,NA,TRUE,21525.0970256521,"growth_slope_20",-2.4,-2.49662043445518,0.0737237435646077,-2.63558052384699,-2.4976565942586,-2.34923139863117,TRUE,-1.31057417574709
107,"three_by_four",3,4,2500,1,"baseline",5,"gamma_poisson",FALSE,NA,TRUE,21525.0970256521,"log_growth_sd",1.50407739677627,1.46464072501943,0.0480834282394416,1.37337941728975,1.46346818869558,1.56080609309641,TRUE,-0.820171797245099
107,"three_by_four",3,4,2500,1,"baseline",5,"gamma_poisson",FALSE,NA,TRUE,21525.0970256521,"log_recruitment_at_80",-1.69314718055995,-1.62755438624965,0.102174499841202,-1.81394843645603,-1.63293277442328,-1.43520272736341,TRUE,0.641968342514448
107,"three_by_four",3,4,2500,1,"baseline",5,"gamma_poisson",FALSE,NA,TRUE,21525.0970256521,"recruitment_slope_20",1.5,1.48050299189462,0.0603512440931106,1.36754972493633,1.48251805242837,1.59758277642991,TRUE,-0.323058926097696
107,"three_by_four",3,4,2500,1,"baseline",5,"gamma_poisson",FALSE,NA,TRUE,21525.0970256521,"recruit_mean_80",44.6,44.7530988776673,0.326221158539778,44.1038709141265,44.7490427600005,45.3860094046975,TRUE,0.469310078943401
107,"three_by_four",3,4,2500,1,"baseline",5,"gamma_poisson",FALSE,NA,TRUE,21525.0970256521,"recruit_mean_slope_20",0.4,0.363448115115071,0.167911776539804,0.0490045672050224,0.361848372648095,0.694791535810427,TRUE,-0.217685058416759
107,"three_by_four",3,4,2500,1,"baseline",5,"gamma_poisson",FALSE,NA,TRUE,21525.0970256521,"log_recruit_sd",1.25276296849537,1.26210702707797,0.0137887008818185,1.23415724485542,1.26198946064266,1.29061922762416,TRUE,0.677660547044277
107,"three_by_four",3,4,2500,1,"baseline",5,"gamma_poisson",FALSE,NA,TRUE,21525.0970256521,"log_process_precision",NA,6.75958282654915,0.602248121227352,5.50719196913196,6.76821994620019,7.96117800153263,NA,NA
108,"six_by_two",6,2,2500,1,"baseline",5,"poisson",FALSE,NA,TRUE,8078.68409794791,"survival_at_80",0.36,0.340534652061788,0.0262873387638335,0.28794260011248,0.339594619403538,0.388968131065349,TRUE,-0.740483778639182
108,"six_by_two",6,2,2500,1,"baseline",5,"poisson",FALSE,NA,TRUE,8078.68409794791,"survival_slope_20",0.64,0.610381770078536,0.0214306141865585,0.568823579906175,0.610883915763763,0.650642669413491,TRUE,-1.38205231374288
