"scenario_id","design","populations","transitions","initial_n","profile_detection","initial_profile","replicate","process_model","failed","error","process_model","convergence","positive_definite","condition_number","laplace_draws","parameter_coverage","derived_coverage","parameter_mean_abs_z","derived_mean_abs_z"
42,"six_by_two",6,2,2500,0.25,"cohort_pulse",2,"poisson",FALSE,NA,"poisson",0,TRUE,3116.67379392284,500,0.9,0.866666666666667,1.06738788495946,1.15808474488489
42,"six_by_two",6,2,2500,0.25,"cohort_pulse",2,"gamma_poisson",FALSE,NA,"gamma_poisson",0,TRUE,2824.66510763675,500,0.9,0.866666666666667,1.04458858131294,1.11646537594262
43,"one_by_twelve",1,12,500,1,"cohort_pulse",2,"poisson",FALSE,NA,"poisson",0,TRUE,45990.9958205283,500,0.2,0.2,3.21104578903181,5.70967599701688
43,"one_by_twelve",1,12,500,1,"cohort_pulse",2,"gamma_poisson",FALSE,NA,"gamma_poisson",0,TRUE,28908.7350309899,500,0.2,0.266666666666667,2.83858375936655,4.81348346087805
44,"three_by_four",3,4,500,1,"cohort_pulse",2,"poisson",FALSE,NA,"poisson",0,TRUE,1792.9555832403,500,0.7,0.533333333333333,1.5420988685137,1.39530112733103
44,"three_by_four",3,4,500,1,"cohort_pulse",2,"gamma_poisson",FALSE,NA,"gamma_poisson",0,TRUE,1832.39518518718,500,0.9,0.8,1.41298300520516,1.24752810321135
45,"six_by_two",6,2,500,1,"cohort_pulse",2,"poisson",FALSE,NA,"poisson",0,TRUE,2243.4191588187,500,0.8,0.866666666666667,0.980909334821603,0.74688255114677
45,"six_by_two",6,2,500,1,"cohort_pulse",2,"gamma_poisson",FALSE,NA,"gamma_poisson",0,TRUE,1971.86540161423,500,0.9,0.866666666666667,0.912709168977545,0.724787540857736
46,"one_by_twelve",1,12,2500,1,"cohort_pulse",2,"poisson",FALSE,NA,"poisson",0,TRUE,7581.95540529432,500,0.7,0.533333333333333,1.18795733818284,1.89086963830212
46,"one_by_twelve",1,12,2500,1,"cohort_pulse",2,"gamma_poisson",FALSE,NA,"gamma_poisson",0,TRUE,12495.5940269143,500,0.8,0.6,1.10949005055747,1.70388727792107
47,"three_by_four",3,4,2500,1,"cohort_pulse",2,"poisson",FALSE,NA,"poisson",0,TRUE,3107.00426064329,500,0.8,0.8,0.994731622190734,0.972954387200546
47,"three_by_four",3,4,2500,1,"cohort_pulse",2,"gamma_poisson",FALSE,NA,"gamma_poisson",0,TRUE,2888.08291536706,500,0.9,0.866666666666667,0.852085612831368,0.842118645308254
48,"six_by_two",6,2,2500,1,"cohort_pulse",2,"poisson",FALSE,NA,"poisson",0,TRUE,2508.68962209308,500,0.7,0.6,1.76075437572093,1.61969931791576
