"design","populations","transitions","initial_n","profile_detection","initial_profile","replicate","scenario_id"
"one_by_twelve",1,12,500,1,"cohort_pulse",5,115
"three_by_four",3,4,500,1,"cohort_pulse",5,116
"six_by_two",6,2,500,1,"cohort_pulse",5,117
"one_by_twelve",1,12,2500,1,"cohort_pulse",5,118
"three_by_four",3,4,2500,1,"cohort_pulse",5,119
"six_by_two",6,2,2500,1,"cohort_pulse",5,120
"one_by_twelve",1,12,500,0.25,"baseline",6,121
"three_by_four",3,4,500,0.25,"baseline",6,122
"six_by_two",6,2,500,0.25,"baseline",6,123
"one_by_twelve",1,12,2500,0.25,"baseline",6,124
"three_by_four",3,4,2500,0.25,"baseline",6,125
"six_by_two",6,2,2500,0.25,"baseline",6,126
"one_by_twelve",1,12,500,1,"baseline",6,127
"three_by_four",3,4,500,1,"baseline",6,128
"six_by_two",6,2,500,1,"baseline",6,129
"one_by_twelve",1,12,2500,1,"baseline",6,130
"three_by_four",3,4,2500,1,"baseline",6,131
"six_by_two",6,2,2500,1,"baseline",6,132
"one_by_twelve",1,12,500,0.25,"cohort_pulse",6,133
"three_by_four",3,4,500,0.25,"cohort_pulse",6,134
"six_by_two",6,2,500,0.25,"cohort_pulse",6,135
"one_by_twelve",1,12,2500,0.25,"cohort_pulse",6,136
"three_by_four",3,4,2500,0.25,"cohort_pulse",6,137
"six_by_two",6,2,2500,0.25,"cohort_pulse",6,138
"one_by_twelve",1,12,500,1,"cohort_pulse",6,139
"three_by_four",3,4,500,1,"cohort_pulse",6,140
"six_by_two",6,2,500,1,"cohort_pulse",6,141
"one_by_twelve",1,12,2500,1,"cohort_pulse",6,142
"three_by_four",3,4,2500,1,"cohort_pulse",6,143
"six_by_two",6,2,2500,1,"cohort_pulse",6,144
"one_by_twelve",1,12,500,0.25,"baseline",7,145
"three_by_four",3,4,500,0.25,"baseline",7,146
"six_by_two",6,2,500,0.25,"baseline",7,147
"one_by_twelve",1,12,2500,0.25,"baseline",7,148
"three_by_four",3,4,2500,0.25,"baseline",7,149
"six_by_two",6,2,2500,0.25,"baseline",7,150
"one_by_twelve",1,12,500,1,"baseline",7,151
"three_by_four",3,4,500,1,"baseline",7,152
"six_by_two",6,2,500,1,"baseline",7,153
"one_by_twelve",1,12,2500,1,"baseline",7,154
"three_by_four",3,4,2500,1,"baseline",7,155
"six_by_two",6,2,2500,1,"baseline",7,156
"one_by_twelve",1,12,500,0.25,"cohort_pulse",7,157
"three_by_four",3,4,500,0.25,"cohort_pulse",7,158
"six_by_two",6,2,500,0.25,"cohort_pulse",7,159
"one_by_twelve",1,12,2500,0.25,"cohort_pulse",7,160
"three_by_four",3,4,2500,0.25,"cohort_pulse",7,161
"six_by_two",6,2,2500,0.25,"cohort_pulse",7,162
"one_by_twelve",1,12,500,1,"cohort_pulse",7,163
"three_by_four",3,4,500,1,"cohort_pulse",7,164
"six_by_two",6,2,500,1,"cohort_pulse",7,165
"one_by_twelve",1,12,2500,1,"cohort_pulse",7,166
"three_by_four",3,4,2500,1,"cohort_pulse",7,167
"six_by_two",6,2,2500,1,"cohort_pulse",7,168
"one_by_twelve",1,12,500,0.25,"baseline",8,169
"three_by_four",3,4,500,0.25,"baseline",8,170
"six_by_two",6,2,500,0.25,"baseline",8,171
"one_by_twelve",1,12,2500,0.25,"baseline",8,172
"three_by_four",3,4,2500,0.25,"baseline",8,173
"six_by_two",6,2,2500,0.25,"baseline",8,174
"one_by_twelve",1,12,500,1,"baseline",8,175
"three_by_four",3,4,500,1,"baseline",8,176
"six_by_two",6,2,500,1,"baseline",8,177
"one_by_twelve",1,12,2500,1,"baseline",8,178
"three_by_four",3,4,2500,1,"baseline",8,179
"six_by_two",6,2,2500,1,"baseline",8,180
"one_by_twelve",1,12,500,0.25,"cohort_pulse",8,181
"three_by_four",3,4,500,0.25,"cohort_pulse",8,182
"six_by_two",6,2,500,0.25,"cohort_pulse",8,183
"one_by_twelve",1,12,2500,0.25,"cohort_pulse",8,184
"three_by_four",3,4,2500,0.25,"cohort_pulse",8,185
"six_by_two",6,2,2500,0.25,"cohort_pulse",8,186
"one_by_twelve",1,12,500,1,"cohort_pulse",8,187
"three_by_four",3,4,500,1,"cohort_pulse",8,188
"six_by_two",6,2,500,1,"cohort_pulse",8,189
"one_by_twelve",1,12,2500,1,"cohort_pulse",8,190
"three_by_four",3,4,2500,1,"cohort_pulse",8,191
"six_by_two",6,2,2500,1,"cohort_pulse",8,192
"one_by_twelve",1,12,500,0.25,"baseline",9,193
"three_by_four",3,4,500,0.25,"baseline",9,194
"six_by_two",6,2,500,0.25,"baseline",9,195
"one_by_twelve",1,12,2500,0.25,"baseline",9,196
"three_by_four",3,4,2500,0.25,"baseline",9,197
"six_by_two",6,2,2500,0.25,"baseline",9,198
"one_by_twelve",1,12,500,1,"baseline",9,199
"three_by_four",3,4,500,1,"baseline",9,200
"six_by_two",6,2,500,1,"baseline",9,201
"one_by_twelve",1,12,2500,1,"baseline",9,202
"three_by_four",3,4,2500,1,"baseline",9,203
"six_by_two",6,2,2500,1,"baseline",9,204
"one_by_twelve",1,12,500,0.25,"cohort_pulse",9,205
"three_by_four",3,4,500,0.25,"cohort_pulse",9,206
"six_by_two",6,2,500,0.25,"cohort_pulse",9,207
"one_by_twelve",1,12,2500,0.25,"cohort_pulse",9,208
"three_by_four",3,4,2500,0.25,"cohort_pulse",9,209
"six_by_two",6,2,2500,0.25,"cohort_pulse",9,210
"one_by_twelve",1,12,500,1,"cohort_pulse",9,211
"three_by_four",3,4,500,1,"cohort_pulse",9,212
"six_by_two",6,2,500,1,"cohort_pulse",9,213
"one_by_twelve",1,12,2500,1,"cohort_pulse",9,214
"three_by_four",3,4,2500,1,"cohort_pulse",9,215
"six_by_two",6,2,2500,1,"cohort_pulse",9,216
"one_by_twelve",1,12,500,0.25,"baseline",10,217
"three_by_four",3,4,500,0.25,"baseline",10,218
"six_by_two",6,2,500,0.25,"baseline",10,219
"one_by_twelve",1,12,2500,0.25,"baseline",10,220
"three_by_four",3,4,2500,0.25,"baseline",10,221
"six_by_two",6,2,2500,0.25,"baseline",10,222
"one_by_twelve",1,12,500,1,"baseline",10,223
"three_by_four",3,4,500,1,"baseline",10,224
"six_by_two",6,2,500,1,"baseline",10,225
"one_by_twelve",1,12,2500,1,"baseline",10,226
"three_by_four",3,4,2500,1,"baseline",10,227
"six_by_two",6,2,2500,1,"baseline",10,228
"one_by_twelve",1,12,500,0.25,"cohort_pulse",10,229
"three_by_four",3,4,500,0.25,"cohort_pulse",10,230
"six_by_two",6,2,500,0.25,"cohort_pulse",10,231
"one_by_twelve",1,12,2500,0.25,"cohort_pulse",10,232
"three_by_four",3,4,2500,0.25,"cohort_pulse",10,233
"six_by_two",6,2,2500,0.25,"cohort_pulse",10,234
"one_by_twelve",1,12,500,1,"cohort_pulse",10,235
"three_by_four",3,4,500,1,"cohort_pulse",10,236
"six_by_two",6,2,500,1,"cohort_pulse",10,237
"one_by_twelve",1,12,2500,1,"cohort_pulse",10,238
"three_by_four",3,4,2500,1,"cohort_pulse",10,239
"six_by_two",6,2,2500,1,"cohort_pulse",10,240
