Location,year,Size
Salina,2003,83
Salina,2003,83
Salina,2003,83
Salina,2003,83
Salina,2003,83
Salina,2003,83
Salina,2003,83
Salina,2003,83
Salina,2003,83
Salina,2003,83
Salina,2003,83
Salina,2003,84
Salina,2003,84
Salina,2003,84
Salina,2003,84
Salina,2003,84
Salina,2003,84
Salina,2003,84
Salina,2003,84
Salina,2003,84
Salina,2003,85
Salina,2003,85
Salina,2003,86
Salina,2003,86
Salina,2003,86
Salina,2003,86
Salina,2003,86
Salina,2003,86
Salina,2003,87
Salina,2003,88
Salina,2003,89
Salina,2003,92
Salina,2003,92
Salina,2003,95
Salina,2003,95
Salina,2003,96
Salina,2003,102
Salina,2003,113
Salina,2003,116
Salina,2003,118
Salina,2003,120
Salina,2003,120
Salina,2003,122
Salina,2003,125
Salina,2003,126
Salina,2003,127
Salina,2003,128
Salina,2003,130
Salina,2003,130
Salina,2003,131
Salina,2003,131
Salina,2003,131
Salina,2003,135
Salina,2003,141
Salina,2003,144
Salina,2004,52
Salina,2004,80
Salina,2004,55
Salina,2004,79
Salina,2004,54
Salina,2004,89
Salina,2004,82
Salina,2004,87
Salina,2004,81
Salina,2004,55
Salina,2004,75
Salina,2004,50
Salina,2004,78
Salina,2004,91
Salina,2004,56
Salina,2004,86
Salina,2004,53
Salina,2004,118
Salina,2004,68
Salina,2004,49
Salina,2004,88
Salina,2004,85
Salina,2004,78
Salina,2004,82
Salina,2004,45
Salina,2004,131
Salina,2004,53
Salina,2004,51
Salina,2004,45
Salina,2004,55
Salina,2004,47
Salina,2004,71
Salina,2004,77
Salina,2004,44
Salina,2004,75
Salina,2004,76
Salina,2004,85
Salina,2004,52
Salina,2004,78
Salina,2004,79
Salina,2004,82
Salina,2004,76
Salina,2004,78
Salina,2004,80
Salina,2004,85
Salina,2004,51
Salina,2004,92
Salina,2004,77
Salina,2004,74
Salina,2004,85
Salina,2004,55
Salina,2004,56
Salina,2004,60
Salina,2004,68
Salina,2004,50
Salina,2004,59
Salina,2004,52
Salina,2004,50
Salina,2004,45
Salina,2004,73
Salina,2004,53
Salina,2004,51
Salina,2004,80
Salina,2004,83
Salina,2004,48
Salina,2004,59
Salina,2004,51
Salina,2004,51
Salina,2004,62
Salina,2004,50
Salina,2004,56
Salina,2004,75
Salina,2004,48
Salina,2004,50
Salina,2004,50
Salina,2004,58
Salina,2004,54
Salina,2004,50
Salina,2004,130
Salina,2004,84
Salina,2004,77
Salina,2004,81
Salina,2004,51
Salina,2004,47
Salina,2004,52
Salina,2004,84
Salina,2004,52
Salina,2004,51
Salina,2004,52
Salina,2004,76
Salina,2004,50
Salina,2004,70
Salina,2004,72
Salina,2004,60
Salina,2004,53
Salina,2004,72
Salina,2004,48
Salina,2004,94
Salina,2004,50
Salina,2004,79
Salina,2004,50
Salina,2004,82
Salina,2004,78
Salina,2004,79
Salina,2004,86
Salina,2004,124
Salina,2004,81
Salina,2004,125
Salina,2004,78
Salina,2004,87
Salina,2004,87
Salina,2004,84
Salina,2004,86
Salina,2004,78
Salina,2004,80
Salina,2004,78
Salina,2004,69
Salina,2004,88
Salina,2004,92
Salina,2004,72
Salina,2004,80
Salina,2004,60
Salina,2004,68
Salina,2004,68
Salina,2004,54
Salina,2004,55
Salina,2004,72
Salina,2004,60
Salina,2004,49
Salina,2004,52
Salina,2004,50
Salina,2004,53
Salina,2004,53
Salina,2004,54
Salina,2004,56
Salina,2004,50
Salina,2004,136
Salina,2004,87
Salina,2004,90
Salina,2004,88
Salina,2004,86
