"truth_name","borrowing","bias_multiplier","replicate","curve_rmse","coverage_at_80","width_at_80","robust_weight"
"baseline","full",0.75,4,0.0584674593963107,FALSE,0.0724946964192125,NA
"baseline","full",0.75,5,0.0696828892650661,FALSE,0.0797122501401046,NA
"baseline","full",0.75,6,0.121083503071995,FALSE,0.0863590573787018,NA
"baseline","full",0.75,7,0.0546935463342958,FALSE,0.0776330886563149,NA
"baseline","full",0.75,8,0.0383912526508555,FALSE,0.079286633589885,NA
"baseline","full",0.75,9,0.175145387989692,FALSE,0.0773118468472063,NA
"baseline","full",1,1,0.114052026860828,FALSE,0.0814072625277105,NA
"baseline","full",1,10,0.0784323972695082,FALSE,0.0780348362357157,NA
"baseline","full",1,11,0.0864385813101404,FALSE,0.091585470367949,NA
"baseline","full",1,12,0.129423654714837,FALSE,0.0841898433185397,NA
"baseline","full",1,13,0.145306891998969,FALSE,0.0996905971723519,NA
"baseline","full",1,14,0.0782125912999568,FALSE,0.0846779987952839,NA
"baseline","full",1,15,0.194577438585377,FALSE,0.0931973324885973,NA
"baseline","full",1,16,0.125141800410592,FALSE,0.0869531360595627,NA
"baseline","full",1,17,0.0674729657844169,FALSE,0.0815021348789352,NA
"baseline","full",1,18,0.0979124027902455,FALSE,0.0848025450985344,NA
"baseline","full",1,19,0.0937840862248107,FALSE,0.0829319592847531,NA
"baseline","full",1,2,0.110544866909179,FALSE,0.0931291117838736,NA
"baseline","full",1,20,0.077944038992688,FALSE,0.0812708840318169,NA
"baseline","full",1,21,0.0974709533960837,FALSE,0.0800933922847167,NA
"baseline","full",1,22,0.106944595360198,FALSE,0.0890356278193219,NA
"baseline","full",1,23,0.0610348827455231,FALSE,0.0797540561302332,NA
"baseline","full",1,24,0.0810617743901978,FALSE,0.0861117287473796,NA
"baseline","full",1,25,0.126767749128987,FALSE,0.0874420294552216,NA
"baseline","full",1,26,0.115814282031437,FALSE,0.0926048455296943,NA
"baseline","full",1,27,0.0732439814793388,FALSE,0.0772636765921364,NA
"baseline","full",1,28,0.0699284615494565,FALSE,0.0783414485954145,NA
"baseline","full",1,29,0.144504931398633,FALSE,0.0847177856390275,NA
"baseline","full",1,3,0.210411477755847,FALSE,0.0775553057109161,NA
"baseline","full",1,30,0.103303436108734,FALSE,0.0866057969228786,NA
"baseline","full",1,4,0.0503482911967802,FALSE,0.0754763771693546,NA
"baseline","full",1,5,0.104584322213049,FALSE,0.0759871174660028,NA
"baseline","full",1,6,0.0788198663330365,FALSE,0.0856729147520768,NA
"baseline","full",1,7,0.0930850133481111,FALSE,0.0795446861503751,NA
"baseline","full",1,8,0.116613320601934,FALSE,0.0858402477558656,NA
"baseline","full",1,9,0.133218703411524,FALSE,0.0811631315611768,NA
"baseline","full",1.5,1,0.176480250288385,FALSE,0.0827661228551753,NA
"baseline","full",1.5,10,0.130188820254152,FALSE,0.0888491981433276,NA
"baseline","full",1.5,11,0.124351328566159,FALSE,0.0975790912632915,NA
"baseline","full",1.5,12,0.184988781541393,FALSE,0.0937177632660331,NA
"baseline","full",1.5,13,0.129104201168626,FALSE,0.0978646939101028,NA
"baseline","full",1.5,14,0.167406690251249,FALSE,0.0925897937922018,NA
"baseline","full",1.5,15,0.117675776549717,FALSE,0.0941618180670699,NA
"baseline","full",1.5,16,0.181546311617251,FALSE,0.0914938188395113,NA
"baseline","full",1.5,17,0.131087952102899,FALSE,0.0819510786843646,NA
"baseline","full",1.5,18,0.140119150989049,FALSE,0.0907148024411534,NA
"baseline","full",1.5,19,0.129259144564094,FALSE,0.0838562000749989,NA
"baseline","full",1.5,2,0.146638647147715,FALSE,0.092420995989373,NA
"baseline","full",1.5,20,0.112351070651641,FALSE,0.0825331430208701,NA
"baseline","full",1.5,21,0.163711835645046,FALSE,0.0988859067161196,NA
"baseline","full",1.5,22,0.10934786712357,FALSE,0.0864660374936395,NA
"baseline","full",1.5,23,0.130994028346673,FALSE,0.087482852118721,NA
"baseline","full",1.5,24,0.138345817213085,FALSE,0.0910552110812539,NA
"baseline","full",1.5,25,0.163765639971493,FALSE,0.0910646183038947,NA
"baseline","full",1.5,26,0.141688540301381,FALSE,0.10011142184052,NA
"baseline","full",1.5,27,0.120163051384374,FALSE,0.0852753044855643,NA
"baseline","full",1.5,28,0.100118787347134,FALSE,0.0833664089370428,NA
"baseline","full",1.5,29,0.251410465728542,FALSE,0.0960711906356999,NA
"baseline","full",1.5,3,0.167068441825582,FALSE,0.0770851849329937,NA
"baseline","full",1.5,30,0.158488310360813,FALSE,0.0873476209720566,NA
"baseline","full",1.5,4,0.132340123522974,FALSE,0.090460611416271,NA
"baseline","full",1.5,5,0.153303602919885,FALSE,0.0836710792585396,NA
"baseline","full",1.5,6,0.186991691916855,FALSE,0.111066128247879,NA
